group,n,acc_model,acc_majority,delta_acc_pp,mae_model_pct,mae_baseline_pct,mae_diff_pct,mean_abs_move_pct
Asia,3467,0.5041822901644073,0.5067781944043842,-0.25959042399769094,0.05473968224231698,0.054588584823584356,0.00015109741873262084,0.05458810434490157
London,2176,0.5330882352941176,0.48391544117647056,4.917279411764708,0.0738871211101104,0.07381878840046566,6.833270964473614e-05,0.07381992856953952
overlap,1303,0.5188027628549501,0.4819646968534152,3.6838066001534884,0.0919864941660271,0.09176930907255379,0.00021718509347330717,0.09177058752197297
NY-only,2156,0.536178107606679,0.45640074211502785,7.977736549165121,0.05426790794922533,0.05392710427904907,0.0003408036701762554,0.05393019485343342
rollover,1301,0.5910837817063798,0.5872405841660261,0.3843197540353671,0.047562854617793575,0.048334015167492715,-0.0007711605496991403,0.04832783103666622
