date,y,ens,garch_frozen,garch_roll,persistence,dow,year,garch_dow
2020-12-20,0.0850208106936014,0.2507162988185882,0.2919627614833121,0.290938189250674,0.2148649751292609,6,2020,0.28785997773507743
2020-12-21,0.6073565137716546,0.3151629865169525,0.2885470443682961,0.2878284707348753,0.0850208106936014,0,2020,0.2968710205985508
2020-12-22,0.20778502964958,0.3650916218757629,0.2964934943528036,0.2948914669042178,0.6073565137716546,1,2020,0.30743504971288904
2020-12-23,0.044313146958509,0.3581351339817047,0.2940509376219725,0.2926832679475348,0.20778502964958,2,2020,0.3176788694631479
2020-12-24,0.0451335756325077,0.2859959304332733,0.2904712844485307,0.2894205750035237,0.044313146958509,3,2020,0.3409946256711273
2020-12-27,0.152482793253906,0.2907065749168396,0.2869338190978358,0.2861970809535115,0.0451335756325077,6,2020,0.282901704167039
2020-12-28,0.363870176978755,0.3449802100658417,0.284097189274935,0.2836074023580893,0.152482793253906,0,2020,0.2922927965312281
2020-12-29,0.351164866368159,0.3780795037746429,0.2846995914865421,0.2841259690661037,0.363870176978755,1,2020,0.2952059142240557
2020-12-30,0.6618028226748601,0.3575527667999267,0.2850018399288757,0.2843757374781678,0.351164866368159,2,2020,0.3079026478736073
2020-12-31,0.157074519962225,0.2728265821933746,0.2952615358281663,0.2935167001494038,0.6618028226748601,3,2020,0.3466180730255555
2021-01-03,0.136421768581477,0.2718312740325928,0.2922964027566836,0.2922734485465618,0.157074519962225,6,2021,0.2881889305406896
2021-01-04,0.3748130324986635,0.3334804177284241,0.2892110842589392,0.2891901348687431,0.136421768581477,0,2021,0.2975542166454379
2021-01-05,0.2566686486572079,0.3706647753715515,0.2898953055526891,0.2898756717453468,0.3748130324986635,1,2021,0.3005933667066358
2021-01-06,0.5123670314733059,0.3561660647392273,0.2882903482007187,0.2882725456446696,0.2566686486572079,2,2021,0.3114553982864026
2021-01-07,0.37413759282182,0.2713052630424499,0.2930020103393227,0.2929780782473708,0.5123670314733059,3,2021,0.34396553527220963
