year,n,ens_mae,garch_mae,dmae,ci_low,ci_high
2021,312,0.17609072477210358,0.18901772477727913,0.012927000005175548,0.00825856416925271,0.017446915748022252
2022,311,0.296881200662902,0.3194420259212297,0.0225608252583277,0.014795300432714199,0.03062165378821503
2023,309,0.22133025015153576,0.2372755239481009,0.01594527379656513,0.010637178522255515,0.023415027599423623
2024,313,0.18510643753671385,0.1946957727129679,0.009589335176254044,0.00367099217629384,0.014671558711694042
2025,313,0.22753846465238653,0.2387378868888404,0.011199422236453871,0.00426434836696746,0.018967012602573427
2026,144,0.1997124002556601,0.2010872028400814,0.0013748025844213252,-0.009081390775956976,0.010342482708831324
