idx,ts,last_close,p_up,gen_sd,trailing_sd,disp_ratio,gen_distinct
3744,2024-07-01 00:00:00,1.07378,0.7,0.0020702717625442754,0.0033577091314112065,0.6165726933214623,14
3745,2024-07-02 00:00:00,1.07383,0.8,0.0019028611299019835,0.0033178875413379656,0.5735158609790129,12
3746,2024-07-03 00:00:00,1.07446,0.7666666666666667,0.0011039737890411053,0.003317922044472209,0.332730478366835,15
3747,2024-07-04 00:00:00,1.0785,0.4,0.0016593934220486637,0.0033447540713750354,0.4961182157606235,11
3748,2024-07-05 00:00:00,1.08105,0.26666666666666666,0.0017171979838335157,0.0033537406746200335,0.5120246764541709,10
3749,2024-07-07 00:00:00,1.08349,0.5,0.0017249118491738107,0.0033632734933335684,0.5128669591077869,10
3750,2024-07-08 00:00:00,1.08176,0.13333333333333333,0.0012856841455779519,0.0033597175096605966,0.38267626426360873,15
3751,2024-07-09 00:00:00,1.08245,0.23333333333333334,0.001412457981666384,0.003299212614724224,0.42811972025163014,11
3752,2024-07-10 00:00:00,1.0814,0.3333333333333333,0.0022474886386647597,0.00330042684287486,0.6809690823830135,18
3753,2024-07-11 00:00:00,1.08286,0.3,0.0013535301709068203,0.0033039859551019777,0.40966583674991547,12
3754,2024-07-12 00:00:00,1.08657,0.9333333333333333,0.0015368027134519476,0.0033222208985566127,0.4625829408633345,12
3755,2024-07-14 00:00:00,1.0905,0.16666666666666666,0.0012741721414453375,0.0033447399904192716,0.3809480393379148,9
3756,2024-07-15 00:00:00,1.08882,0.36666666666666664,0.001754880374439682,0.003281384773542658,0.5347987193056525,9
3757,2024-07-16 00:00:00,1.08945,0.26666666666666666,0.0012986793396136712,0.0032056084569115125,0.40512725027712887,9
3758,2024-07-17 00:00:00,1.08982,0.2,0.0015722360482204388,0.003156623569569758,0.4980752419696124,12
3759,2024-07-18 00:00:00,1.09378,0.06666666666666667,0.001980394331000119,0.0031802235766932143,0.6227217311115361,14
3760,2024-07-19 00:00:00,1.08968,0.4666666666666667,0.0014167532476607072,0.003196099924769143,0.4432756425045254,8
3761,2024-07-21 00:00:00,1.0879,0.5666666666666667,0.002075674788786552,0.003201026219873936,0.648440420731167,12
3762,2024-07-22 00:00:00,1.08849,0.5666666666666667,0.0015678095624155175,0.00319546588212999,0.4906356757501878,11
3763,2024-07-23 00:00:00,1.08892,0.43333333333333335,0.0019919609992482628,0.003184889372372876,0.6254411900543247,11
3764,2024-07-24 00:00:00,1.08535,0.36666666666666664,0.00198090559825731,0.003205941081577947,0.6178858400237096,14
3765,2024-07-25 00:00:00,1.08396,0.7,0.0017684380466101582,0.0032090913701064527,0.5510712668026947,16
3766,2024-07-26 00:00:00,1.08448,0.43333333333333335,0.0015032930817310943,0.0031723824143117555,0.47386881069230485,16
3767,2024-07-28 00:00:00,1.08551,0.5666666666666667,0.001785572344284028,0.0031603958499489757,0.564983764395481,17
3768,2024-07-29 00:00:00,1.08559,0.43333333333333335,0.0015617134505853888,0.0031029768875610974,0.5032952249324928,10
