ref_date,value,publication_date
2024-03-01,126.2576,2024-05-15
2024-04-01,126.8896,2024-06-17
2024-05-01,127.6007,2024-07-15
2024-06-01,127.5217,2024-08-15
2024-07-01,128.0748,2024-09-16
2024-08-01,127.8378,2024-10-15
2024-09-01,127.2847,2024-11-15
2024-10-01,127.8378,2024-12-16
2024-11-01,127.8378,2025-01-15
2024-12-01,127.3637,2025-02-17
2025-01-01,127.4427,2025-03-17
2025-02-01,128.7859,2025-04-15
2025-03-01,129.1809,2025-05-15
