ref_date,value,publication_date
2018-08-01,6.0,2018-09-13
2018-09-01,5.9,2018-10-09
2018-10-01,5.8,2018-11-13
2018-11-01,5.6,2018-12-17
2018-12-01,5.6,2019-01-15
2019-01-01,5.8,2019-02-13
2019-02-01,5.8,2019-03-13
2019-03-01,5.8,2019-04-11
2019-04-01,5.7,2019-05-22
2019-05-01,5.4,2019-06-14
2019-06-01,5.5,2019-07-11
2019-07-01,5.7,2019-09-11
2019-08-01,5.7,2019-09-11
2019-09-01,5.5,2019-12-12
2019-10-01,5.5,2019-12-12
2019-11-01,5.9,2019-12-12
2019-12-01,5.6,2020-01-15
2020-01-01,5.5,2020-02-12
2020-02-01,5.6,2020-03-11
2020-03-01,7.8,2020-05-14
2020-04-01,13.0,2020-05-14
2020-05-01,13.7,2020-06-11
2020-06-01,12.3,2020-08-11
2020-07-01,10.9,2020-08-11
2020-08-01,10.2,2020-09-10
2020-09-01,9.0,2020-11-10
2020-10-01,8.9,2020-11-10
2020-11-01,8.5,2020-12-09
2020-12-01,8.6,2021-01-19
2021-01-01,9.4,2021-02-12
2021-02-01,8.2,2021-04-14
2021-03-01,7.5,2021-04-14
2021-04-01,8.1,2021-05-12
2021-05-01,8.2,2021-06-10
2021-06-01,7.8,2021-07-13
2021-07-01,7.5,2021-08-12
2021-08-01,7.1,2021-09-15
2021-09-01,6.9,2021-10-13
2021-10-01,6.7,2021-11-11
2021-11-01,6.0,2021-12-10
2021-12-01,5.9,2022-01-18
2022-01-01,6.5,2022-02-11
2022-02-01,5.5,2022-04-14
2022-03-01,5.3,2022-04-14
2022-04-01,5.2,2022-05-11
2022-05-01,5.1,2022-06-14
2022-06-01,4.9,2022-07-13
2022-07-01,4.9,2022-08-10
2022-08-01,5.4,2022-11-11
2022-09-01,5.2,2022-11-11
2022-10-01,5.2,2022-11-11
2022-11-01,5.1,2022-12-10
2022-12-01,5.0,2023-01-11
2023-01-01,5.0,2023-03-09
2023-02-01,5.0,2023-04-07
2023-03-01,5.0,2023-05-10
2023-04-01,5.0,2023-06-13
2023-05-01,5.2,2023-07-07
2023-06-01,5.4,2023-08-10
2023-07-01,5.5,2023-09-09
2023-08-01,5.5,2023-10-07
2023-09-01,5.5,2023-11-10
2023-10-01,5.7,2023-11-10
2023-11-01,5.8,2023-12-09
2023-12-01,5.8,2024-01-11
2024-01-01,5.7,2024-04-10
2024-02-01,5.8,2024-04-10
2024-03-01,6.1,2024-04-10
2024-04-01,6.1,2024-05-15
