ref_date,value,publication_date
2017-12-01,117.294073797987,2018-03-09
2018-01-01,116.734998136414,2018-03-09
2018-02-01,117.294073797987,2018-03-21
2018-03-01,117.405888930302,2018-04-20
2018-04-01,117.092119866815,2018-05-24
2018-05-01,117.536071032186,2018-06-14
2018-06-01,117.536071032186,2018-07-19
2018-07-01,117.536071032186,2018-08-23
2018-08-01,106.5,2018-10-09
2018-09-01,106.6,2018-11-13
2018-10-01,106.7,2018-12-17
2018-11-01,106.9,2019-01-15
2018-12-01,107.1,2019-02-13
2019-01-01,106.4,2019-03-13
2019-02-01,106.8,2019-04-11
2019-03-01,107.0,2019-05-22
2019-04-01,107.6,2019-06-14
2019-05-01,107.9,2019-07-11
2019-06-01,107.9,2019-08-12
2019-07-01,108.0,2019-09-11
2019-08-01,108.3,2019-10-09
2019-09-01,108.4,2019-12-12
2019-10-01,108.3,2019-12-12
2019-11-01,108.5,2020-01-15
2019-12-01,108.5,2020-02-12
2020-01-01,108.3,2020-03-11
2020-02-01,108.6,2020-04-11
2020-03-01,108.6,2020-05-14
2020-04-01,108.6,2020-06-11
2020-05-01,108.6,2020-07-10
2020-06-01,108.8,2020-08-11
2020-07-01,109.2,2020-09-10
2020-08-01,108.8,2020-10-09
2020-09-01,109.2,2020-11-10
2020-10-01,109.2,2020-12-09
2020-11-01,109.1,2021-01-19
2020-12-01,109.4,2021-02-12
2021-01-01,109.3,2021-03-10
2021-02-01,109.4,2021-04-14
2021-03-01,109.7,2021-05-12
2021-04-01,110.4,2021-06-10
2021-05-01,111.0,2021-07-13
2021-06-01,111.4,2021-08-12
2021-07-01,111.4,2021-09-15
2021-08-01,112.1,2021-10-13
2021-09-01,112.4,2021-11-11
2021-10-01,113.4,2021-12-10
2021-11-01,114.1,2022-01-18
2021-12-01,114.7,2022-02-11
2022-01-01,114.6,2022-03-10
2022-02-01,115.4,2022-04-14
2022-03-01,116.5,2022-05-11
2022-04-01,119.0,2022-06-14
2022-05-01,119.7,2022-07-13
2022-06-01,120.5,2022-08-10
2022-07-01,121.2,2022-09-14
2022-08-01,121.8,2022-11-11
2022-09-01,122.3,2022-11-11
2022-10-01,124.3,2022-12-10
2022-11-01,124.8,2023-01-11
2022-12-01,125.3,2023-02-13
2023-01-01,124.8,2023-03-09
2023-02-01,126.0,2023-04-07
2023-03-01,126.8,2023-05-10
2023-04-01,128.3,2023-06-13
2023-05-01,129.1,2023-07-07
2023-06-01,129.4,2023-08-10
2023-07-01,129.0,2023-09-09
2023-08-01,129.4,2023-10-07
2023-09-01,130.1,2023-11-10
2023-10-01,130.2,2023-12-09
2023-11-01,130.0,2024-01-11
2023-12-01,130.5,2024-05-15
2024-01-01,130.0,2024-05-15
2024-02-01,130.8,2024-05-15
2024-03-01,131.6,2024-05-15
2024-04-01,132.2,2024-06-17
2024-05-01,132.7,2024-07-15
2024-06-01,133.0,2024-08-15
2024-07-01,132.9,2024-09-16
2024-08-01,133.4,2024-10-15
2024-09-01,133.5,2024-11-15
2024-10-01,134.3,2024-12-16
2024-11-01,134.6,2025-01-15
2024-12-01,135.1,2025-02-17
2025-01-01,135.1,2025-03-17
2025-02-01,135.6,2025-04-15
2025-03-01,136.1,2025-05-15
