ref_date,value,publication_date
2015-02-01,116.78,2015-03-18
2015-03-01,118.09,2015-04-17
2015-04-01,118.4,2015-05-20
2015-05-01,118.66,2015-07-16
2015-06-01,118.65,2015-07-16
2015-07-01,117.89,2015-08-24
2015-08-01,117.9,2015-09-16
2015-09-01,118.17,2015-10-19
2015-10-01,118.33,2015-11-17
2015-11-01,118.16,2015-12-16
2015-12-01,118.14,2016-01-22
2016-01-01,98.72,2016-02-25
2016-02-01,98.88,2016-03-17
2016-03-01,100.1,2016-05-18
2016-04-01,100.14,2016-05-18
2016-05-01,100.51,2016-06-16
2016-06-01,100.68,2016-07-15
2016-07-01,100.12,2016-08-18
2016-08-01,100.21,2016-09-15
2016-09-01,100.6,2016-10-17
2016-10-01,100.85,2016-11-17
2016-11-01,100.76,2016-12-16
2016-12-01,101.31,2017-01-18
2017-01-01,100.46,2017-02-22
2017-02-01,100.84,2017-03-16
2017-03-01,101.65,2017-04-19
2017-04-01,102.04,2017-05-17
2017-05-01,101.92,2017-06-16
2017-06-01,101.95,2017-07-17
2017-07-01,101.44,2017-08-17
2017-08-01,101.71,2017-09-18
2017-09-01,102.15,2017-10-17
2017-10-01,102.24,2017-11-16
2017-11-01,102.31,2017-12-18
2017-12-01,102.68,2018-01-17
2018-01-01,101.77,2018-02-23
2018-02-01,101.98,2018-03-16
2018-03-01,103.01,2018-04-18
2018-04-01,103.31,2018-05-16
2018-05-01,103.83,2018-06-15
2018-06-01,103.95,2018-07-18
2018-07-01,103.61,2018-08-17
2018-08-01,103.78,2018-09-17
2018-09-01,104.25,2018-10-17
2018-10-01,104.49,2018-11-16
2018-11-01,104.3,2018-12-17
2018-12-01,104.29,2019-01-17
2019-01-01,102.97,2019-03-15
2019-02-01,103.3,2019-03-15
2019-03-01,104.35,2019-04-17
2019-04-01,105.1,2019-05-17
2019-05-01,105.24,2019-06-18
2019-06-01,105.41,2019-08-19
2019-07-01,104.91,2019-08-19
2019-08-01,105.06,2019-09-18
2019-09-01,105.29,2019-10-16
2019-10-01,105.44,2019-11-15
2019-11-01,105.1,2019-12-18
2019-12-01,105.43,2020-01-17
2020-01-01,104.37,2020-02-21
2020-02-01,104.56,2020-03-18
2020-03-01,105.13,2020-04-17
2020-04-01,105.43,2020-05-20
2020-05-01,105.33,2020-06-17
2020-06-01,105.69,2020-07-17
2020-07-01,105.32,2020-08-19
2020-08-01,104.88,2020-09-17
2020-09-01,104.97,2020-10-16
2020-10-01,105.16,2020-11-18
2020-11-01,104.8,2020-12-17
2020-12-01,105.15,2021-01-20
2021-01-01,105.32,2021-02-23
2021-02-01,105.54,2021-03-17
2021-03-01,106.53,2021-04-16
2021-04-01,107.14,2021-05-19
2021-05-01,107.42,2021-06-17
2021-06-01,107.7,2021-07-16
2021-07-01,107.6,2021-08-18
2021-08-01,107.98,2021-09-17
2021-09-01,108.49,2021-10-20
2021-10-01,109.41,2021-11-17
2021-11-01,109.9,2021-12-17
2021-12-01,110.37,2022-01-20
2022-01-01,110.7,2022-02-23
2022-02-01,111.74,2022-03-17
2022-03-01,114.46,2022-04-21
2022-04-01,115.11,2022-05-18
2022-05-01,116.07,2022-06-17
2022-06-01,117.01,2022-07-19
2022-07-01,117.14,2022-08-18
2022-08-01,117.85,2022-09-16
2022-09-01,119.26,2022-10-19
2022-10-01,121.03,2022-11-17
2022-11-01,120.95,2022-12-16
2022-12-01,120.52,2023-01-18
2023-01-01,120.26,2023-02-23
2023-02-01,121.24,2023-03-17
2023-03-01,122.34,2023-04-19
2023-04-01,123.12,2023-05-17
2023-05-01,123.14,2023-06-16
2023-06-01,123.45,2023-07-19
2023-07-01,123.32,2023-08-18
2023-08-01,124.0,2023-09-19
2023-09-01,124.4,2023-10-18
2023-10-01,124.51,2023-11-17
2023-11-01,123.82,2023-12-19
2023-12-01,124.02,2024-01-17
2024-01-01,123.58,2024-02-22
2024-02-01,124.36,2024-03-18
2024-03-01,125.29,2024-04-17
2024-04-01,126.01,2024-05-17
2024-05-01,126.28,2024-06-18
2024-06-01,126.55,2024-07-17
2024-07-01,126.5,2024-08-20
2024-08-01,126.67,2024-09-18
2024-09-01,126.56,2024-10-17
2024-10-01,126.99,2024-11-19
2024-11-01,126.58,2024-12-18
2024-12-01,127.03,2025-01-17
2025-01-01,126.67,2025-02-24
2025-02-01,127.22,2025-03-19
2025-03-01,127.99,2025-04-16
2025-04-01,128.72,2025-05-19
2025-05-01,128.65,2025-06-18
2025-06-01,129.04,2025-07-17
2025-07-01,129.04,2025-08-20
2025-08-01,129.24,2025-09-17
2025-09-01,129.37,2025-10-17
2025-10-01,129.63,2025-11-19
2025-11-01,129.26,2025-12-17
2025-12-01,129.47,2026-01-19
2026-01-01,100.04,2026-04-16
2026-02-01,100.7,2026-04-16
2026-03-01,101.98,2026-04-16
2026-04-01,103.02,2026-05-20
2026-05-01,103.1,2026-06-17
2026-06-01,103.0,2026-07-17
