ny_hour,n_bars_scopeA_full,n_close_to_close_scopeA_full,n_gap_excluded_scopeA_full,mean_abs_return_pct_scopeA_full,median_abs_return_pct_scopeA_full,mean_abs_pips_scopeA_full,median_abs_pips_scopeA_full,p75_abs_pips_scopeA_full,p90_abs_pips_scopeA_full,mean_bar_range_pips_scopeA_full,median_bar_range_pips_scopeA_full,n_bars_scopeB_first85,n_close_to_close_scopeB_first85,up_rate_pct_scopeB_first85,mean_signed_pips_scopeB_first85,median_signed_pips_scopeB_first85,session,rank_by_mean_abs_pips
7,2918,2918,0,0.11657614315024714,0.07785740968598853,12.98564084989717,8.799999999999919,16.37499999999903,28.399999999999537,17.114496230294744,14.899999999999913,2480,2480,51.16935483870968,0.628467741935466,0.5500000000002725,London,1
9,2918,2917,1,0.1152435554912349,0.0836702233415032,12.831230716489506,9.40000000000163,17.400000000000748,27.800000000000047,23.580089102124763,20.400000000000418,2480,2480,48.185483870967744,-0.45125000000000565,-0.5000000000010552,overlap,2
8,2918,2918,0,0.10255911830348285,0.07659341685387622,11.447703906785513,8.699999999999264,15.600000000000058,24.299999999999322,25.791569568197396,20.599999999999508,2480,2480,50.08064516129033,0.23568548387099056,0.09999999999843467,overlap,3
2,2918,2918,0,0.09804919515641466,0.07123246269420958,10.940472926662121,8.050000000000557,14.500000000001734,23.600000000001398,17.229575051405096,15.099999999999003,2480,2480,52.82258064516129,0.7475403225806642,0.8999999999992347,Asia,4
10,2917,2917,0,0.08401948900819838,0.06249383284542276,9.370551936921492,7.099999999999884,12.799999999999478,19.700000000000273,26.06870071991776,22.800000000000598,2480,2480,50.362903225806456,0.19685483870967374,0.10000000000065512,overlap,5
3,2918,2918,0,0.08168008071977256,0.0617623314262461,9.13543522960933,6.999999999999229,12.574999999999115,18.90000000000014,21.749451679232372,18.699999999998163,2480,2480,49.395161290322584,-0.5490322580645034,-0.10000000000065512,London,6
1,2917,2917,0,0.07524185050175414,0.05705136463184379,8.402331162152896,6.399999999999739,11.300000000000754,17.700000000000493,10.768015083990434,9.300000000000974,2479,2479,48.003227107704724,-0.5376764824526301,-0.40000000000040004,Asia,7
6,2918,2918,0,0.07362082150321712,0.055585645684835816,8.232796435915025,6.300000000001305,11.000000000001009,17.300000000000093,15.785880740233088,13.850000000000806,2480,2480,44.03225806451613,-1.491370967741926,-1.3000000000018552,London,8
4,2918,2918,0,0.07070835807859814,0.05270761648980549,7.885743660041105,5.9000000000009045,10.700000000001264,16.730000000000153,18.896915695681997,16.700000000000603,2480,2480,49.314516129032256,-0.1318145161290479,-0.10000000000065512,London,9
5,2918,2918,0,0.06992665446541721,0.05153254671245722,7.800719671007542,5.800000000000249,10.600000000000609,16.529999999999507,16.477587388622364,14.400000000001079,2480,2480,47.82258064516129,-0.6179435483871031,-0.5000000000010552,London,10
