hypothesis,arbiter,n_val,seeds,garch_mae,garch_r2,base_ensemble_mae,base_ensemble_r2,challenger_ensemble_mae,challenger_ensemble_r2,challenger_seed_mae_min,challenger_seed_mae_max,point_delta_mae,ci_dmae_low,ci_dmae_high,point_delta_r2,ci_dr2_low,ci_dr2_high,alpha_bar,cleared_bar,verdict
volatility_input_rsi_14_vs_base_ensemble,validation[70:80],856,42 43 44 45 46,0.203794,0.0094,0.184755,0.1445,0.185758,0.1346,0.178754,0.191631,-0.001002,-0.002217,0.000134,-0.0099,-0.0216,0.0016,0.01,False,DROP — +RSI_14 improvement indistinguishable from noise at the family bar
volatility_input_bb_percent_b_vs_base_ensemble,validation[70:80],856,42 43 44 45 46,0.203794,0.0094,0.184755,0.1445,0.186256,0.1421,0.178659,0.195436,-0.001501,-0.002539,-0.000362,-0.0024,-0.0121,0.0069,0.01,False,DROP — +BB_percent_b improvement indistinguishable from noise at the family bar
