scenario,cost_pips,n_days,n_trades,hit_rate,gross_return_pct_total,net_return_pct_total,gross_return_pct_per_trade,net_return_pct_per_trade
gross (no costs),0.0,1721,441,0.5072632190586868,26.300928646149792,26.300928646149792,0.059639293982199075,0.059639293982199075
1 pip spread,1.0,1721,441,0.5072632190586868,26.300928646149792,22.291837737058884,0.059639293982199075,0.05054838489128999
2 pip spread,2.0,1721,441,0.5072632190586868,26.300928646149792,18.282746827967966,0.059639293982199075,0.04145747580038087
