scenario,cost_pips,n_days,n_trades,hit_rate,gross_return_pct_total,net_return_pct_total,gross_return_pct_per_trade,net_return_pct_per_trade
gross (no costs),0.0,3103,1337,0.5020947470190139,29.08164443932956,29.08164443932956,0.021751416932931606,0.021751416932931606
1 pip spread,1.0,3103,1337,0.5020947470190139,29.08164443932956,16.927098984784116,0.021751416932931606,0.012660507842022526
2 pip spread,2.0,3103,1337,0.5020947470190139,29.08164443932956,4.772553530238653,0.021751416932931606,0.003569598751113428
