horizon_bars,target_mult,stop_mult,scope,n_rows,mean_uniqueness,n_independent,mean_resolution_bars,median_resolution_bars,pct_resolved_target,pct_resolved_stop,pct_resolved_time,median_target_width_pips,p25_target_width_pips,cost_ratio_median_pct,cost_ratio_p25_pct,class_balance_pct_label1,tier_independence,tier_cost,viability
12,1.5,1.0,EURUSD,48248,0.097218,4691,9.508,12.0,14.4,30.13,55.46,49.275,37.978,3.044,3.95,45.09,marginal,comfortable,MARGINAL
12,1.5,1.0,GBPUSD,48248,0.09783,4720,9.456,12.0,14.57,30.27,55.15,68.16,54.145,2.201,2.77,45.57,marginal,comfortable,MARGINAL
12,1.5,1.0,AUDUSD,48248,0.096353,4649,9.551,12.0,14.08,31.52,54.4,43.152,34.184,3.476,4.388,45.63,marginal,comfortable,MARGINAL
12,1.5,1.0,CHFUSD,48248,0.096907,4676,9.544,12.0,15.03,29.1,55.87,45.575,35.998,3.291,4.167,44.23,marginal,comfortable,MARGINAL
12,1.5,1.0,pooled,192992,0.097077,18735,9.515,12.0,14.52,30.26,55.22,50.673,38.639,2.96,3.882,45.13,GBM_plausible,comfortable,VIABLE
12,2.0,1.0,EURUSD,48248,0.09366,4519,9.863,12.0,7.87,30.52,61.61,65.748,50.666,2.281,2.961,44.35,marginal,comfortable,MARGINAL
12,2.0,1.0,GBPUSD,48248,0.094143,4542,9.833,12.0,7.78,30.75,61.46,90.958,72.241,1.649,2.076,44.76,marginal,comfortable,MARGINAL
12,2.0,1.0,AUDUSD,48248,0.092842,4479,9.929,12.0,6.54,31.86,61.6,57.593,45.616,2.604,3.288,44.95,marginal,comfortable,MARGINAL
12,2.0,1.0,CHFUSD,48248,0.092898,4482,9.942,12.0,7.93,29.55,62.52,60.813,48.027,2.467,3.123,43.3,marginal,comfortable,MARGINAL
12,2.0,1.0,pooled,192992,0.093386,18023,9.892,12.0,7.53,30.67,61.8,67.62,51.553,2.218,2.91,44.34,GBM_plausible,comfortable,VIABLE
24,0.5,1.0,EURUSD,48236,0.085147,4107,11.703,10.0,58.12,25.3,16.57,23.199,17.886,6.466,8.386,61.76,marginal,comfortable,MARGINAL
24,0.5,1.0,GBPUSD,48236,0.084924,4096,11.696,10.0,57.63,26.42,15.95,32.087,25.495,4.675,5.883,61.35,marginal,comfortable,MARGINAL
24,0.5,1.0,AUDUSD,48236,0.087579,4224,11.364,9.0,59.09,25.41,15.5,20.308,16.093,7.386,9.321,62.89,marginal,comfortable,MARGINAL
24,0.5,1.0,CHFUSD,48236,0.084444,4073,11.87,10.0,57.24,25.11,17.66,21.457,16.952,6.991,8.848,61.03,marginal,comfortable,MARGINAL
24,0.5,1.0,pooled,192944,0.085524,16501,11.658,10.0,58.02,25.56,16.42,23.853,18.194,6.289,8.244,61.76,GBM_plausible,comfortable,VIABLE
24,1.0,1.0,EURUSD,48236,0.058331,2814,16.405,19.0,30.72,31.39,37.89,46.444,35.801,3.23,4.19,48.59,marginal,comfortable,MARGINAL
24,1.0,1.0,GBPUSD,48236,0.058712,2832,16.29,18.0,30.66,32.1,37.24,64.251,51.039,2.335,2.939,48.54,marginal,comfortable,MARGINAL
24,1.0,1.0,AUDUSD,48236,0.058458,2820,16.539,18.0,31.04,31.28,37.69,40.673,32.222,3.688,4.655,49.26,marginal,comfortable,MARGINAL
24,1.0,1.0,CHFUSD,48236,0.058046,2800,16.576,19.0,30.56,30.35,39.09,42.956,33.932,3.492,4.421,47.86,marginal,comfortable,MARGINAL
24,1.0,1.0,pooled,192944,0.058387,11265,16.452,19.0,30.75,31.28,37.97,47.762,36.424,3.141,4.118,48.56,GBM_plausible,comfortable,VIABLE
24,1.5,1.0,EURUSD,48236,0.052124,2514,18.349,24.0,15.72,32.65,51.63,69.74,53.744,2.151,2.791,45.55,marginal,comfortable,MARGINAL
24,1.5,1.0,GBPUSD,48236,0.052471,2531,18.293,24.0,15.22,33.43,51.36,96.49,76.633,1.555,1.957,45.46,marginal,comfortable,MARGINAL
24,1.5,1.0,AUDUSD,48236,0.051648,2491,18.702,24.0,14.6,32.52,52.88,61.095,48.388,2.455,3.1,46.36,marginal,comfortable,MARGINAL
24,1.5,1.0,CHFUSD,48236,0.051496,2484,18.611,24.0,15.5,31.5,53.0,64.499,50.94,2.326,2.945,44.74,marginal,comfortable,MARGINAL
24,1.5,1.0,pooled,192944,0.051935,10020,18.489,24.0,15.26,32.53,52.22,71.728,54.685,2.091,2.743,45.53,GBM_plausible,comfortable,VIABLE
24,2.0,1.0,EURUSD,48236,0.049891,2407,19.235,24.0,7.92,32.98,59.1,93.083,71.713,1.611,2.092,44.85,marginal,comfortable,MARGINAL
24,2.0,1.0,GBPUSD,48236,0.050264,2425,19.167,24.0,7.31,33.86,58.84,128.805,102.271,1.165,1.467,44.67,marginal,comfortable,MARGINAL
24,2.0,1.0,AUDUSD,48236,0.049555,2390,19.529,24.0,6.61,32.76,60.63,81.572,64.59,1.839,2.322,45.81,marginal,comfortable,MARGINAL
24,2.0,1.0,CHFUSD,48236,0.049262,2376,19.49,24.0,7.63,31.77,60.6,86.087,67.975,1.742,2.207,44.06,marginal,comfortable,MARGINAL
24,2.0,1.0,pooled,192944,0.049743,9598,19.355,24.0,7.37,32.84,59.79,95.747,72.979,1.567,2.055,44.85,GBM_plausible,comfortable,VIABLE
48,0.5,1.0,EURUSD,48212,0.047204,2276,21.759,17.0,58.76,25.73,15.51,32.821,25.3,4.57,5.929,62.4,marginal,comfortable,MARGINAL
48,0.5,1.0,GBPUSD,48212,0.047643,2297,21.59,17.0,58.48,26.83,14.7,45.398,36.065,3.304,4.159,61.94,marginal,comfortable,MARGINAL
48,0.5,1.0,AUDUSD,48212,0.048126,2320,21.629,17.0,59.35,25.97,14.68,28.727,22.768,5.222,6.588,62.71,marginal,comfortable,MARGINAL
48,0.5,1.0,CHFUSD,48212,0.046323,2233,22.528,18.0,57.86,25.27,16.87,30.35,23.979,4.942,6.255,61.84,marginal,comfortable,MARGINAL
48,0.5,1.0,pooled,192848,0.047324,9126,21.876,17.0,58.61,25.95,15.44,33.743,25.737,4.445,5.828,62.22,GBM_plausible,comfortable,VIABLE
48,1.0,1.0,EURUSD,48212,0.031063,1498,31.714,34.0,31.95,32.16,35.89,65.741,50.654,2.282,2.961,48.62,marginal,comfortable,MARGINAL
48,1.0,1.0,GBPUSD,48212,0.031354,1512,31.647,34.0,31.28,33.34,35.38,90.947,72.227,1.649,2.077,48.48,marginal,comfortable,MARGINAL
48,1.0,1.0,AUDUSD,48212,0.030764,1483,32.414,35.0,30.99,32.1,36.91,57.564,45.606,2.606,3.289,49.18,marginal,comfortable,MARGINAL
48,1.0,1.0,CHFUSD,48212,0.030623,1476,32.466,36.0,31.05,31.16,37.79,60.791,48.015,2.467,3.124,48.32,marginal,comfortable,MARGINAL
48,1.0,1.0,pooled,192848,0.030951,5969,32.06,35.0,31.32,32.19,36.49,67.599,51.542,2.219,2.91,48.65,GBM_plausible,comfortable,VIABLE
48,1.5,1.0,EURUSD,48212,0.027236,1313,36.086,48.0,17.08,33.3,49.61,98.755,76.066,1.519,1.972,45.7,marginal,comfortable,MARGINAL
48,1.5,1.0,GBPUSD,48212,0.027441,1323,36.042,48.0,15.51,34.9,49.59,136.653,108.485,1.098,1.383,45.14,marginal,comfortable,MARGINAL
