scenario,cost_pips,n_days,n_trades,hit_rate,gross_return_pct_total,net_return_pct_total,gross_return_pct_per_trade,net_return_pct_per_trade
gross (no costs),0.0,1712,495,0.5093457943925234,9.135463786382399,9.135463786382399,0.018455482396732118,0.018455482396732118
1 pip spread,1.0,1712,495,0.5093457943925234,9.135463786382399,4.635463786382397,0.018455482396732118,0.009364573305823024
2 pip spread,2.0,1712,495,0.5093457943925234,9.135463786382399,0.1354637863823953,0.018455482396732118,0.00027366421491392993
