n,date,variant,arbiter,n_settled_positions,n_matched_with_vol_forecast,vol_weight_min,vol_weight_median,vol_weight_max,cum_net_return_pct_original,cum_net_return_pct_weighted,sharpe_like_original,sharpe_like_weighted,delta_sharpe,delta_sharpe_ci_low,delta_sharpe_ci_high,sharpe_ci_excludes_zero_improving,max_drawdown_pct_original,max_drawdown_pct_weighted,drawdown_improved,sample_caveat,verdict,notes
1,2026-07-26,baseline,paper_trading_settled_ledger,10,10,0.8206,1.0313,1.4679,-0.2092,-0.0819,-1.3695,-0.4938,0.8757,,,0.0,0.7456,0.7333,1.0,"PRELIMINARY — only 10 matched settled positions (< 40); paper trading has only recently started accumulating. Treat as directional only, NOT a KEEP/DROP decision.",PRELIMINARY/DIRECTIONAL ONLY — sample too thin for a KEEP/DROP decision,"research-only retrospective what-if sizing overlay on the already-settled baseline ledger; vol_weight=trailing_ref_vol/predicted_vol_pct clipped to [0.25,4.0]; trailing_ref_vol=causal rolling(252,min_periods=1).median(); block-bootstrap block_len=20, n_boot=2000, boot_degenerate_frac=nan. Direction calls untouched; no model/feature/serving/execution change; real capital deployment is a separate future conversation."
2,2026-07-26,with_macro,paper_trading_settled_ledger,17,17,0.8206,1.0538,1.4812,-1.7911,-1.8129,-6.8829,-6.2363,0.6466,,,0.0,1.9787,1.9972,0.0,"PRELIMINARY — only 17 matched settled positions (< 40); paper trading has only recently started accumulating. Treat as directional only, NOT a KEEP/DROP decision.",PRELIMINARY/DIRECTIONAL ONLY — sample too thin for a KEEP/DROP decision,"research-only retrospective what-if sizing overlay on the already-settled with_macro ledger; vol_weight=trailing_ref_vol/predicted_vol_pct clipped to [0.25,4.0]; trailing_ref_vol=causal rolling(252,min_periods=1).median(); block-bootstrap block_len=20, n_boot=2000, boot_degenerate_frac=nan. Direction calls untouched; no model/feature/serving/execution change; real capital deployment is a separate future conversation."
