DATE,us_cpi_yoy,de_cpi_yoy,inflation_differential
1997-01-01 00:00:00+00:00,3.0381383322559907,1.808604038630368,1.2295342936256226
1997-02-01 00:00:00+00:00,3.032258064516125,1.605864897887943,1.4263931666281815
1997-03-01 00:00:00+00:00,2.7652733118971096,1.3949433304272008,1.3703299814699088
1997-04-01 00:00:00+00:00,2.434336963484962,1.2043986734159515,1.2299382900690103
1997-05-01 00:00:00+00:00,2.237851662404089,1.3934854554955578,0.8443662069085311
1997-06-01 00:00:00+00:00,2.233567326100827,1.4964329215242822,0.7371344045765449
1997-07-01 00:00:00+00:00,2.165605095541401,1.5977770059048213,0.5678280896365795
1997-08-01 00:00:00+00:00,2.290076335877877,1.8080667593880275,0.4820095764898502
1997-09-01 00:00:00+00:00,2.21940393151554,1.4951321279554897,0.7242718035600504
1997-10-01 00:00:00+00:00,2.0859671302149163,1.4964329215242822,0.5895342086906341
1997-11-01 00:00:00+00:00,1.8903591682419616,1.6025082738198917,0.2878508944220703
1997-12-01 00:00:00+00:00,1.6970458830924071,1.3879250520471895,0.3091208310452176
1998-01-01 00:00:00+00:00,1.6311166875784044,0.6898930665746983,0.9412236210037062
1998-02-01 00:00:00+00:00,1.440200375704448,0.6012712592338154,0.8389291164706325
1998-03-01 00:00:00+00:00,1.3767209011263937,0.4987102321582171,0.8780106689681766
1998-04-01 00:00:00+00:00,1.4383989993745905,0.8968609865470878,0.5415380128275027
1998-05-01 00:00:00+00:00,1.6885553470919357,0.8933172994330718,0.7952380476588639
1998-06-01 00:00:00+00:00,1.6229712858926382,0.788616492370986,0.8343547935216522
1998-07-01 00:00:00+00:00,1.74563591022443,0.786324786324788,0.959311123899642
1998-08-01 00:00:00+00:00,1.6169154228855789,0.5806010928961713,1.036314329989407
1998-09-01 00:00:00+00:00,1.4267990074441794,0.4967454607742283,0.9300535466699512
1998-10-01 00:00:00+00:00,1.4860681114551078,0.394308246185493,1.0917598652696148
1998-11-01 00:00:00+00:00,1.4842300556586308,0.394308246185493,1.0899218094731378
1998-12-01 00:00:00+00:00,1.606922126081578,0.2053388090349051,1.401583317046673
1999-01-01 00:00:00+00:00,1.6666666666666607,0.2055498458376048,1.461116820829056
1999-02-01 00:00:00+00:00,1.6666666666666607,0.0853825136611918,1.5812841530054689
1999-03-01 00:00:00+00:00,1.728395061728394,0.4962354551676817,1.232159606560712
1999-04-01 00:00:00+00:00,2.281134401972884,0.786324786324788,1.494809615648096
1999-05-01 00:00:00+00:00,2.091020910209096,0.3916226800612987,1.6993982301477972
1999-06-01 00:00:00+00:00,1.96560196560196,0.3912229971083647,1.574378968493595
1999-07-01 00:00:00+00:00,2.1446078431372584,0.5766621438263231,1.5679456993109353
1999-08-01 00:00:00+00:00,2.2643818849449104,0.679117147707986,1.5852647372369244
1999-09-01 00:00:00+00:00,2.629969418960254,0.7840463610022219,1.845923057958032
1999-10-01 00:00:00+00:00,2.56253813300793,0.8709016393442681,1.691636493663662
1999-11-01 00:00:00+00:00,2.620353443022561,0.9733606557376984,1.6469927872848622
1999-12-01 00:00:00+00:00,2.676399026763998,1.3661202185792254,1.3102788081847727
2000-01-01 00:00:00+00:00,2.792956891317555,1.6752136752136604,1.1177432161038947
2000-02-01 00:00:00+00:00,3.217972070431085,1.6720696126940826,1.5459024577370029
2000-03-01 00:00:00+00:00,3.762135922330101,1.4132470628299032,2.3488888595001978
2000-04-01 00:00:00+00:00,3.013863773357439,1.017639077340582,1.9962246960168573
2000-05-01 00:00:00+00:00,3.1325301204819134,0.8649932157394735,2.26753690474244
2000-06-01 00:00:00+00:00,3.7349397590361377,1.2876990850559045,2.4472406739802333
2000-07-01 00:00:00+00:00,3.5992801439711952,1.231028667790901,2.368251476180294
2000-08-01 00:00:00+00:00,3.3512866546977715,0.9612141652613816,2.39007248943639
2000-09-01 00:00:00+00:00,3.45649582836709,1.522070015220689,1.934425813146401
2000-10-01 00:00:00+00:00,3.450327186198688,1.4558997799221318,1.994427406276556
2000-11-01 00:00:00+00:00,3.444180522565321,1.454422458988658,1.9897580635766632
2000-12-01 00:00:00+00:00,3.4360189573459543,2.122641509433953,1.3133774479120008
2001-01-01 00:00:00+00:00,3.7212049616065945,1.277740416946882,2.4434645446597125
2001-02-01 00:00:00+00:00,3.529411764705892,1.7284779325390076,1.8009338321668844
2001-03-01 00:00:00+00:00,2.9824561403508643,1.7965077233042417,1.1859484170466228
2001-04-01 00:00:00+00:00,3.2182562902282053,2.1994627266621825,1.0187935635660228
2001-05-01 00:00:00+00:00,3.56308411214954,2.808138557255768,0.7549455548937711
2001-06-01 00:00:00+00:00,3.193960511033689,2.442288390766145,0.7516721202675436
2001-07-01 00:00:00+00:00,2.7214823393167498,2.198900549725136,0.522581789591614
2001-08-01 00:00:00+00:00,2.7214823393167498,2.2047770168698744,0.5167053224468754
2001-09-01 00:00:00+00:00,2.5921658986175045,1.8157587872730248,0.7764071113444793
2001-10-01 00:00:00+00:00,2.127659574468077,1.6519272484565306,0.4757323260115464
