scope,group,n_train,n_val,up_rate_train,up_rate_val,mean_pips_train,mean_pips_val,acc_gbm,acc_majority,delta,se_acc,edge_share
ny_hour,0,2017,427,0.48834903321765,0.5081967213114754,-0.2941001487357518,0.04777517564408626,0.5105386416861827,0.5081967213114754,0.00234192037470726,0.024196695924791362,0.0041841004184100415
ny_hour,1,2028,434,0.47928994082840237,0.49539170506912444,-0.5172090729783309,-0.6635944700461173,0.5345622119815668,0.49539170506912444,0.03917050691244239,0.024000768036865967,0.07112970711297072
ny_hour,2,2034,435,0.5378564405113078,0.4827586206896552,0.8696656833825265,-0.06367816091955929,0.5747126436781609,0.4827586206896552,0.09195402298850575,0.023973165074269207,0.16736401673640167
ny_hour,3,2028,433,0.48668639053254437,0.5450346420323325,-0.6651873767258356,0.034872979214839776,0.47575057736720555,0.5450346420323325,-0.06928406466512702,0.024028466566610635,-0.12552301255230125
ny_hour,4,2028,435,0.4881656804733728,0.5287356321839081,-0.20315581854044654,0.36091954022986056,0.5195402298850574,0.5287356321839081,-0.009195402298850575,0.023973165074269207,-0.016736401673640166
ny_hour,5,2029,435,0.4691966485953672,0.5241379310344828,-0.8446525381961588,0.3583908045976806,0.49885057471264366,0.5241379310344828,-0.02528735632183908,0.023973165074269207,-0.04602510460251046
ny_hour,6,2029,434,0.4440611138491868,0.4377880184331797,-1.5007885657959499,-1.249308755760352,0.5645161290322581,0.4377880184331797,0.12672811059907835,0.024000768036865967,0.2301255230125523
ny_hour,7,2028,436,0.5167652859960552,0.5,0.7460552268244349,-0.06399082568806992,0.518348623853211,0.5,0.01834862385321101,0.023945657130528784,0.03347280334728033
ny_hour,8,2029,434,0.5017249876786595,0.5069124423963134,0.19847215377035887,0.2686635944700308,0.4700460829493088,0.5069124423963134,-0.03686635944700461,0.024000768036865967,-0.06694560669456066
ny_hour,9,2028,435,0.48372781065088755,0.4781609195402299,-0.4933431952662682,-0.6052873563218842,0.49885057471264366,0.4781609195402299,0.020689655172413793,0.023973165074269207,0.03765690376569038
ny_hour,10,2031,432,0.5105859182668636,0.48842592592592593,0.250713934022628,0.15740740740747755,0.5347222222222222,0.48842592592592593,0.046296296296296294,0.024056261216234408,0.08368200836820083
ny_hour,11,2026,432,0.5014807502467917,0.47453703703703703,0.179417571569627,0.32291666666667995,0.5069444444444444,0.47453703703703703,0.032407407407407406,0.024056261216234408,0.058577405857740586
ny_hour,12,2029,435,0.5056678166584524,0.5195402298850574,0.29221291276484784,0.18229885057469716,0.4781609195402299,0.5195402298850574,-0.041379310344827586,0.023973165074269207,-0.07531380753138076
ny_hour,13,2027,435,0.50419338924519,0.5126436781609195,0.3353724716330111,0.6390804597701211,0.5402298850574713,0.5126436781609195,0.027586206896551724,0.023973165074269207,0.0502092050209205
ny_hour,14,2018,434,0.5,0.4792626728110599,0.025074331020755743,-0.31405529953915595,0.5276497695852534,0.4792626728110599,0.04838709677419355,0.024000768036865967,0.08786610878661087
ny_hour,15,2013,427,0.3939393939393939,0.4215456674473068,-1.227968206656732,-0.601639344262399,0.5878220140515222,0.4215456674473068,0.16627634660421545,0.024196695924791362,0.29707112970711297
ny_hour,16,2002,427,0.5729270729270729,0.6135831381733021,0.26033966033964834,0.7283372365339815,0.6533957845433255,0.6135831381733021,0.03981264637002342,0.024196695924791362,0.07112970711297072
ny_hour,17,2017,429,0.6534457114526524,0.627039627039627,1.5495785820526191,1.024475524475518,0.6433566433566433,0.627039627039627,0.016317016317016316,0.02414022747926338,0.029288702928870293
ny_hour,18,2021,428,0.48243443839683325,0.4883177570093458,-0.21390400791689418,-0.26214953271030644,0.5397196261682243,0.4883177570093458,0.0514018691588785,0.02416841222614159,0.09205020920502092
ny_hour,19,2025,432,0.4918518518518519,0.5208333333333334,-0.1353086419752631,0.23125000000003978,0.4976851851851852,0.5208333333333334,-0.023148148148148147,0.024056261216234408,-0.04184100418410042
ny_hour,20,2020,432,0.5232673267326733,0.49537037037037035,0.6052970297029416,-0.2356481481481654,0.5138888888888888,0.49537037037037035,0.018518518518518517,0.024056261216234408,0.03347280334728033
ny_hour,21,2016,434,0.5223214285714286,0.4930875576036866,0.45615079365077355,-0.003225806451567517,0.47465437788018433,0.4930875576036866,-0.018433179723502304,0.024000768036865967,-0.03347280334728033
ny_hour,22,2009,431,0.5092085614733698,0.4802784222737819,0.07013439522153386,-0.004872389791220391,0.5406032482598608,0.4802784222737819,0.060324825986078884,0.0240841525429544,0.1087866108786611
ny_hour,23,2011,432,0.512680258577822,0.4861111111111111,0.0218299353555346,-0.30624999999998115,0.4583333333333333,0.4861111111111111,-0.027777777777777776,0.024056261216234408,-0.0502092050209205
fx_day_hour,0,2017,429,0.6534457114526524,0.627039627039627,1.5495785820526191,1.024475524475518,0.6433566433566433,0.627039627039627,0.016317016317016316,0.02414022747926338,0.029288702928870293
fx_day_hour,1,2021,428,0.48243443839683325,0.4883177570093458,-0.21390400791689418,-0.26214953271030644,0.5397196261682243,0.4883177570093458,0.0514018691588785,0.02416841222614159,0.09205020920502092
fx_day_hour,2,2025,432,0.4918518518518519,0.5208333333333334,-0.1353086419752631,0.23125000000003978,0.4976851851851852,0.5208333333333334,-0.023148148148148147,0.024056261216234408,-0.04184100418410042
fx_day_hour,3,2020,432,0.5232673267326733,0.49537037037037035,0.6052970297029416,-0.2356481481481654,0.5138888888888888,0.49537037037037035,0.018518518518518517,0.024056261216234408,0.03347280334728033
fx_day_hour,4,2016,434,0.5223214285714286,0.4930875576036866,0.45615079365077355,-0.003225806451567517,0.47465437788018433,0.4930875576036866,-0.018433179723502304,0.024000768036865967,-0.03347280334728033
fx_day_hour,5,2009,431,0.5092085614733698,0.4802784222737819,0.07013439522153386,-0.004872389791220391,0.5406032482598608,0.4802784222737819,0.060324825986078884,0.0240841525429544,0.1087866108786611
fx_day_hour,6,2011,432,0.512680258577822,0.4861111111111111,0.0218299353555346,-0.30624999999998115,0.4583333333333333,0.4861111111111111,-0.027777777777777776,0.024056261216234408,-0.0502092050209205
fx_day_hour,7,2017,427,0.48834903321765,0.5081967213114754,-0.2941001487357518,0.04777517564408626,0.5105386416861827,0.5081967213114754,0.00234192037470726,0.024196695924791362,0.0041841004184100415
fx_day_hour,8,2028,434,0.47928994082840237,0.49539170506912444,-0.5172090729783309,-0.6635944700461173,0.5345622119815668,0.49539170506912444,0.03917050691244239,0.024000768036865967,0.07112970711297072
fx_day_hour,9,2034,435,0.5378564405113078,0.4827586206896552,0.8696656833825265,-0.06367816091955929,0.5747126436781609,0.4827586206896552,0.09195402298850575,0.023973165074269207,0.16736401673640167
fx_day_hour,10,2028,433,0.48668639053254437,0.5450346420323325,-0.6651873767258356,0.034872979214839776,0.47575057736720555,0.5450346420323325,-0.06928406466512702,0.024028466566610635,-0.12552301255230125
fx_day_hour,11,2028,435,0.4881656804733728,0.5287356321839081,-0.20315581854044654,0.36091954022986056,0.5195402298850574,0.5287356321839081,-0.009195402298850575,0.023973165074269207,-0.016736401673640166
fx_day_hour,12,2029,435,0.4691966485953672,0.5241379310344828,-0.8446525381961588,0.3583908045976806,0.49885057471264366,0.5241379310344828,-0.02528735632183908,0.023973165074269207,-0.04602510460251046
fx_day_hour,13,2029,434,0.4440611138491868,0.4377880184331797,-1.5007885657959499,-1.249308755760352,0.5645161290322581,0.4377880184331797,0.12672811059907835,0.024000768036865967,0.2301255230125523
fx_day_hour,14,2028,436,0.5167652859960552,0.5,0.7460552268244349,-0.06399082568806992,0.518348623853211,0.5,0.01834862385321101,0.023945657130528784,0.03347280334728033
fx_day_hour,15,2029,434,0.5017249876786595,0.5069124423963134,0.19847215377035887,0.2686635944700308,0.4700460829493088,0.5069124423963134,-0.03686635944700461,0.024000768036865967,-0.06694560669456066
fx_day_hour,16,2028,435,0.48372781065088755,0.4781609195402299,-0.4933431952662682,-0.6052873563218842,0.49885057471264366,0.4781609195402299,0.020689655172413793,0.023973165074269207,0.03765690376569038
fx_day_hour,17,2031,432,0.5105859182668636,0.48842592592592593,0.250713934022628,0.15740740740747755,0.5347222222222222,0.48842592592592593,0.046296296296296294,0.024056261216234408,0.08368200836820083
fx_day_hour,18,2026,432,0.5014807502467917,0.47453703703703703,0.179417571569627,0.32291666666667995,0.5069444444444444,0.47453703703703703,0.032407407407407406,0.024056261216234408,0.058577405857740586
fx_day_hour,19,2029,435,0.5056678166584524,0.5195402298850574,0.29221291276484784,0.18229885057469716,0.4781609195402299,0.5195402298850574,-0.041379310344827586,0.023973165074269207,-0.07531380753138076
fx_day_hour,20,2027,435,0.50419338924519,0.5126436781609195,0.3353724716330111,0.6390804597701211,0.5402298850574713,0.5126436781609195,0.027586206896551724,0.023973165074269207,0.0502092050209205
fx_day_hour,21,2018,434,0.5,0.4792626728110599,0.025074331020755743,-0.31405529953915595,0.5276497695852534,0.4792626728110599,0.04838709677419355,0.024000768036865967,0.08786610878661087
fx_day_hour,22,2013,427,0.3939393939393939,0.4215456674473068,-1.227968206656732,-0.601639344262399,0.5878220140515222,0.4215456674473068,0.16627634660421545,0.024196695924791362,0.29707112970711297
fx_day_hour,23,2002,427,0.5729270729270729,0.6135831381733021,0.26033966033964834,0.7283372365339815,0.6533957845433255,0.6135831381733021,0.03981264637002342,0.024196695924791362,0.07112970711297072
fx_week_day,0,9666,2044,0.5035174839644113,0.5161448140900196,0.10418994413407849,0.1078277886497035,0.5244618395303327,0.5161448140900196,0.008317025440313111,0.01105934888009522,0.07112970711297072
fx_week_day,1,9728,2075,0.5,0.49301204819277106,-0.10261101973684064,-0.05281927710843414,0.5407228915662651,0.49301204819277106,0.047710843373493975,0.010976425998969034,0.41422594142259417
fx_week_day,2,9724,2067,0.5076100370218017,0.501693275278181,0.08905800082270822,0.08238993710692304,0.5423318819545234,0.501693275278181,0.040638606676342524,0.010997646755364592,0.3514644351464435
fx_week_day,3,9755,2095,0.5017939518195798,0.518854415274463,0.0036699128651966075,-0.001241050119332411,0.5083532219570406,0.518854415274463,-0.010501193317422435,0.010923906912979292,-0.09205020920502092
fx_week_day,4,9670,2097,0.5035160289555326,0.49260848831664283,-0.14446742502585555,-0.13848354792560783,0.5216976633285646,0.49260848831664283,0.029089175011921792,0.010918696368006972,0.25523012552301255
ny_session,Asia,16160,3457,0.5081064356435644,0.49522707549898753,0.13489480198019974,-0.12525310963262273,0.5131617008967313,0.49522707549898753,0.01793462539774371,0.008503942491228869,0.2594142259414226
ny_session,London,10142,2173,0.4809702228357326,0.5071329958582604,-0.49367974758430844,-0.11141279337320996,0.5154164749194662,0.5071329958582604,0.008283479061205707,0.010726058003503604,0.07531380753138076
ny_session,overlap,6088,1301,0.49868593955321944,0.49116064565718676,-0.014553219448090713,-0.060491929285162255,0.5011529592621061,0.49116064565718676,0.009992313604919293,0.01386217432503569,0.05439330543933055
ny_session,NY-only,10113,2163,0.4811628596855532,0.4817383263985206,-0.07763274992584417,0.047896440129433046,0.5279704114655571,0.4817383263985206,0.04623208506703652,0.010750823813438266,0.41841004184100417
ny_session,rollover,6040,1284,0.5695364238410596,0.5763239875389408,0.532185430463587,0.49711838006230225,0.6121495327102804,0.5763239875389408,0.03582554517133956,0.013953639304648689,0.19246861924686193
sunday_evening_hours_only,True,2805,597,0.5180035650623885,0.507537688442211,0.3054188948306826,0.27855946398660947,0.5108877721943048,0.507537688442211,0.0033500837520938024,0.02046363772675145,0.008368200836820083
trivial_predictor,fx_day_hour,48543,10378,,,,,0.5086721911736365,0.5044324532665253,0.004239737907111185,0.004908097383586451,
trivial_predictor,ny_hour,48543,10378,,,,,0.5086721911736365,0.5044324532665253,0.004239737907111185,0.004908097383586451,
trivial_predictor,server_hour,48543,10378,,,,,0.5137791481981114,0.5044324532665253,0.00934669493158613,0.004908097383586451,
slice_total,validation[70:85],48543,10378,0.5032857466576025,0.5044324532665253,-0.010017922254496003,-0.001146656388513987,0.5274619387165157,0.5044324532665253,0.023029485449990394,0.004908097383586451,1.0
