,CV Accuracy,CV Precision,CV Recall,CV F1,CV ROC-AUC
RandomForest,0.5183920704845815,0.5079465685219273,0.3829553914241638,0.427703444618541,0.523825077002447
XGBoost,0.5140969162995594,0.5029944995860675,0.3819688609551221,0.4224295767989544,0.5216053446363536
LightGBM,0.5109030837004405,0.5037282866451884,0.441785563182666,0.45929412804486347,0.5190160807111748
GradientBoosting,0.5128854625550661,0.5047912999610606,0.3099476542737677,0.3594512933961471,0.5149191185159085
RandomForest (Tuned Hold-out),0.5001070434596446,0.4965081476554706,0.6452031114952463,0.5611727118962601,0.49905208890636
