time,open,high,low,close,tick_volume
2026-08-18 10:00:00+00:00,1.15734,1.15773,1.15685,1.15759,5673
2026-08-18 11:00:00+00:00,1.15758,1.15796,1.15719,1.15788,4900
2026-08-18 12:00:00+00:00,1.15789,1.1579,1.15732,1.15757,4732
2026-08-18 13:00:00+00:00,1.15758,1.15766,1.1571799999999999,1.15762,4671
2026-08-18 14:00:00+00:00,1.15762,1.1579,1.15711,1.15735,6641
2026-08-18 15:00:00+00:00,1.15732,1.15846,1.15692,1.15802,8857
2026-08-18 16:00:00+00:00,1.15798,1.15881,1.15789,1.15806,10432
2026-08-18 17:00:00+00:00,1.15805,1.15859,1.1575199999999999,1.1579,8336
2026-08-18 18:00:00+00:00,1.15788,1.15853,1.15779,1.15793,4918
2026-08-18 19:00:00+00:00,1.15792,1.158,1.15735,1.15761,4393
2026-08-18 20:00:00+00:00,1.15762,1.15783,1.15737,1.15754,3239
2026-08-18 21:00:00+00:00,1.1575199999999999,1.15804,1.15732,1.15744,4245
2026-08-18 22:00:00+00:00,1.15745,1.15746,1.15714,1.15723,2142
2026-08-18 23:00:00+00:00,1.15726,1.15769,1.15694,1.15737,212
2026-08-19 00:00:00+00:00,1.15726,1.15764,1.15713,1.15757,1595
2026-08-19 01:00:00+00:00,1.15758,1.15781,1.15729,1.15757,1619
2026-08-19 02:00:00+00:00,1.15756,1.1581299999999999,1.1573,1.15737,5450
2026-08-19 03:00:00+00:00,1.15737,1.15775,1.15696,1.15768,5239
2026-08-19 04:00:00+00:00,1.15768,1.15868,1.15761,1.15819,5462
2026-08-19 05:00:00+00:00,1.15818,1.15845,1.15805,1.15808,2981
2026-08-19 06:00:00+00:00,1.1581,1.15863,1.158,1.15853,3616
2026-08-19 07:00:00+00:00,1.15853,1.15891,1.15841,1.15881,3602
2026-08-19 08:00:00+00:00,1.15882,1.15982,1.15871,1.15942,6806
2026-08-19 09:00:00+00:00,1.15944,1.15973,1.1590799999999999,1.15961,5560
2026-08-19 10:00:00+00:00,1.15962,1.16048,1.15949,1.15979,6685
2026-08-19 11:00:00+00:00,1.15977,1.16079,1.15958,1.16061,5055
2026-08-19 12:00:00+00:00,1.1606,1.16116,1.16045,1.16061,4999
2026-08-19 13:00:00+00:00,1.16059,1.16082,1.15988,1.16024,5602
2026-08-19 14:00:00+00:00,1.16026,1.16429,1.16018,1.16352,13651
2026-08-19 15:00:00+00:00,1.1635,1.16588,1.1634,1.16562,17767
2026-08-19 16:00:00+00:00,1.16553,1.16767,1.16531,1.1663000000000001,15937
2026-08-19 17:00:00+00:00,1.16631,1.16676,1.16558,1.16635,11049
2026-08-19 18:00:00+00:00,1.16634,1.16717,1.1663000000000001,1.16682,6923
2026-08-19 19:00:00+00:00,1.16681,1.16718,1.1657899999999999,1.16583,6518
2026-08-19 20:00:00+00:00,1.16588,1.16747,1.16582,1.16732,9192
2026-08-19 21:00:00+00:00,1.16731,1.16789,1.1669100000000001,1.16768,7189
2026-08-19 22:00:00+00:00,1.16768,1.16788,1.16745,1.16757,1988
2026-08-19 23:00:00+00:00,1.16731,1.16785,1.1673,1.16753,140
2026-08-20 00:00:00+00:00,1.16767,1.16799,1.16738,1.16746,2105
2026-08-20 01:00:00+00:00,1.16747,1.16771,1.16722,1.16737,2532
2026-08-20 02:00:00+00:00,1.16739,1.1679599999999999,1.16717,1.16741,5365
2026-08-20 03:00:00+00:00,1.1674,1.1682299999999999,1.16696,1.1676,7922
2026-08-20 04:00:00+00:00,1.1676199999999999,1.16832,1.16723,1.16746,5537
2026-08-20 05:00:00+00:00,1.16745,1.16799,1.16737,1.16791,4317
2026-08-20 06:00:00+00:00,1.16791,1.16799,1.16713,1.1672500000000001,3774
2026-08-20 07:00:00+00:00,1.1672500000000001,1.16771,1.16697,1.16758,4760
2026-08-20 08:00:00+00:00,1.16759,1.16878,1.1672500000000001,1.16876,7483
2026-08-20 09:00:00+00:00,1.16876,1.16876,1.16802,1.16814,2680
