as_of_date,forecasting_date,pred_direction,pred_return_pct,actual_return_pct,abs_error
2026-07-01,2026-07-02,DOWN,-0.00714740976585,0.4640493579771624,0.4711967677430124
2026-06-22,2026-06-23,UP,0.0224553729110667,-0.39381793359354034,0.41627330650460703
2026-06-30,2026-07-01,MIXED / LOW CONFIDENCE,0.0098428630280687,-0.38870650032829934,0.39854936335636804
2026-06-26,2026-06-29,DOWN,-0.0001405745734081,0.36897451440318213,0.36911508897659023
2026-06-23,2026-06-24,UP,0.0235358625650405,-0.2003673401235651,0.2239032026886056
2026-06-24,2026-06-25,MIXED / LOW CONFIDENCE,-0.0268383843813643,0.1259212947879188,0.1527596791692831
2026-06-25,2026-06-26,DOWN,-0.0223997214798436,0.10817371114981306,0.13057343262965665
2026-06-29,2026-06-30,DOWN,0.0103986970641771,-0.021006748417930834,0.031405445482107934
2026-07-02,2026-07-03,DOWN,0.0004581065859093,-0.024495009141892416,0.024953115727801716
