idx,ts,last_close,p_up,gen_sd,trailing_sd,disp_ratio,gen_distinct
513,2024-08-25 09:00:00,63960.9609375,0.23333333333333334,155.0085810254765,281.67158936650765,0.5503167052598309,6
516,2024-08-25 12:00:00,63895.91796875,0.13333333333333333,201.26817543295695,279.65851739546974,0.7196926355307115,11
521,2024-08-25 17:00:00,64072.37890625,0.23333333333333334,142.08544603977478,277.8469417637328,0.5113802769893259,5
529,2024-08-26 01:00:00,64145.1796875,0.8333333333333334,203.22130522169581,250.1520091908149,0.8123912571362937,6
532,2024-08-26 04:00:00,64122.03515625,0.2,177.87233526070298,249.84295925825523,0.7119365532203837,5
533,2024-08-26 05:00:00,64025.9296875,0.7666666666666667,111.88294157484964,250.09634984608874,0.4473593542796737,6
539,2024-08-26 11:00:00,63808.96484375,0.8333333333333334,144.1458027867002,233.30462647066116,0.6178437391803159,9
540,2024-08-26 12:00:00,63915.296875,0.6666666666666666,221.19345111898173,233.30458073394047,0.9480887620086199,9
541,2024-08-26 13:00:00,63646.1640625,0.5333333333333333,311.14035380959757,235.06443824025507,1.3236385568947129,12
542,2024-08-26 14:00:00,63774.51171875,0.4666666666666667,237.45776447689195,230.92478565985732,1.028290505059329,12
544,2024-08-26 16:00:00,63584.94921875,0.06666666666666667,154.04935825154664,228.23554330576476,0.6749577915003726,7
556,2024-08-27 04:00:00,62988.9375,0.13333333333333333,80.43611581212929,232.15240674303004,0.3464797842960301,4
566,2024-08-27 14:00:00,62267.59375,0.7666666666666667,144.47788694848074,235.04467898175412,0.6146826534188259,8
571,2024-08-27 19:00:00,62103.2734375,0.3333333333333333,128.30599198271113,229.29809083650508,0.5595597918614871,4
576,2024-08-28 00:00:00,59507.92578125,0.3,413.73293572891413,252.60691781830036,1.6378527528153897,20
577,2024-08-28 01:00:00,59109.9140625,0.36666666666666664,347.58364071166835,241.41835775868515,1.4397564623445205,16
578,2024-08-28 02:00:00,59434.9140625,0.1,208.26844122700894,243.04319150215412,0.8569194633257728,7
580,2024-08-28 04:00:00,59634.77734375,0.4666666666666667,196.3849906706199,244.94540742345453,0.8017500419230773,10
582,2024-08-28 06:00:00,59326.359375,0.13333333333333333,196.56846677121837,245.8830476890592,0.7994388739633508,9
592,2024-08-28 16:00:00,59007.1484375,0.2,173.46786524197051,285.06133898412304,0.6085282061052555,8
594,2024-08-28 18:00:00,58663.00390625,0.6666666666666666,209.65296960772451,289.76289912645916,0.7235328271485411,9
596,2024-08-28 20:00:00,59155.9140625,0.9333333333333333,217.83033615891233,298.4053498860143,0.7299813366017727,13
604,2024-08-29 04:00:00,59163.234375,0.4666666666666667,175.01603067992892,292.2868412823879,0.5987817648993654,8
607,2024-08-29 07:00:00,59590.1171875,0.5333333333333333,172.8666999414257,294.48464090017296,0.5870143156295394,14
608,2024-08-29 08:00:00,59599.828125,0.9,158.57482653852992,294.43682873873706,0.5385699445881421,15
614,2024-08-29 14:00:00,60623.84375,0.36666666666666664,216.71690311412632,301.0716870241917,0.7198182773550297,16
616,2024-08-29 16:00:00,60816.8828125,0.5333333333333333,183.89385701242125,301.9010143284041,0.6091197057469434,10
618,2024-08-29 18:00:00,60514.83984375,0.23333333333333334,149.14975824743217,305.1994082846732,0.4886960924521632,16
619,2024-08-29 19:00:00,59190.5390625,0.8,328.6601360754224,331.2129950554827,0.9922923948692512,18
622,2024-08-29 22:00:00,59519.5234375,0.9,129.34388205621337,332.5321312980454,0.3889665685878749,8
629,2024-08-30 05:00:00,59035.92578125,0.8333333333333334,134.84126404174722,332.38084441903214,0.4056830178569286,8
631,2024-08-30 07:00:00,59351.1796875,0.6,202.2639005795004,336.32592809786763,0.601392529334353,12
632,2024-08-30 08:00:00,59316.0,0.6666666666666666,165.731863844718,336.2934294551428,0.49281921479475255,9
637,2024-08-30 13:00:00,59536.578125,0.9,158.94042694915555,337.0061248484201,0.4716247427866315,20
643,2024-08-30 19:00:00,59321.30078125,0.36666666666666664,191.566555429124,365.52379791831527,0.5240877790176988,6
