record,scale,arm,horizon,model,comparison,profit_accuracy_mean,profit_accuracy_sd,n_transactions_mean,transaction_rate_mean,n_test_rows,n_seeds,delta,ci_low,ci_high,distinguishable_from_zero
arm_mean,primary,A3,5,HYBRID,,0.5693277310924371,0.12969180112647608,77.6,0.32066115702479336,242,5,,,,
arm_mean,primary,A3,5,ME_LSTM,,0.44214876033057854,0.0,145.2,0.6,242,5,,,,
arm_mean,primary,A3,5,ME_TI_LSTM,,0.44831125047935094,0.02091432736618138,153.6,0.6347107438016529,242,5,,,,
arm_mean,primary,A3,5,TI_LSTM,,0.47067180478814646,0.03881417270149088,200.0,0.8264462809917354,242,5,,,,
arm_mean,primary,A4,1,HYBRID,,0.5414853958796363,0.017026852097524563,69.6,0.28641975308641976,243,5,,,,
arm_mean,primary,A4,1,ME_LSTM,,0.5048010973936901,0.002375927033702153,145.8,0.6,243,5,,,,
arm_mean,primary,A4,1,ME_TI_LSTM,,0.4714619747127671,0.07329730506475535,140.2,0.5769547325102881,243,5,,,,
arm_mean,primary,A4,1,TI_LSTM,,0.4993259670349815,0.021605163707712274,201.6,0.8296296296296296,243,5,,,,
arm_mean,primary,A4,3,HYBRID,,0.5621444686165499,0.08778486215597842,77.6,0.31934156378600825,243,5,,,,
arm_mean,primary,A4,3,ME_LSTM,,0.4677640603566529,0.004751854067404338,145.8,0.6,243,5,,,,
arm_mean,primary,A4,3,ME_TI_LSTM,,0.45908159033247464,0.03361891592696211,154.2,0.6345679012345679,243,5,,,,
arm_mean,primary,A4,3,TI_LSTM,,0.48823767383059413,0.03617908423941606,201.2,0.8279835390946502,243,5,,,,
arm_mean,primary,A4,5,HYBRID,,0.5693277310924371,0.12969180112647608,77.6,0.32066115702479336,242,5,,,,
arm_mean,primary,A4,5,ME_LSTM,,0.44214876033057854,0.0,145.2,0.6,242,5,,,,
arm_mean,primary,A4,5,ME_TI_LSTM,,0.44831125047935094,0.02091432736618138,153.6,0.6347107438016529,242,5,,,,
arm_mean,primary,A4,5,TI_LSTM,,0.47067180478814646,0.03881417270149088,200.0,0.8264462809917354,242,5,,,,
arm_mean,secondary,A0,1,HYBRID,,0.5369620457404818,0.06111052639838286,158.0,0.10995128740431455,1437,5,,,,
arm_mean,secondary,A0,1,ME_LSTM,,0.5032098144256667,0.022801996866386506,418.0,0.290883785664579,1437,5,,,,
arm_mean,secondary,A0,1,ME_TI_LSTM,,0.48514292951873755,0.055125227576003695,553.2,0.38496868475991647,1437,5,,,,
arm_mean,secondary,A0,1,TI_LSTM,,0.49350463521789123,0.021430517851553484,665.4,0.46304801670146134,1437,5,,,,
arm_mean,secondary,A0,3,HYBRID,,0.4843516869387535,0.04860805264886667,639.2,0.4448155880306193,1437,5,,,,
arm_mean,secondary,A0,3,ME_LSTM,,0.4880211965438274,0.025357209500516825,1046.4,0.7281837160751566,1437,5,,,,
arm_mean,secondary,A0,3,ME_TI_LSTM,,0.4922215572185148,0.03269395184421369,1042.6,0.7255393180236605,1437,5,,,,
arm_mean,secondary,A0,3,TI_LSTM,,0.5085278717220325,0.006215172550858806,1038.6,0.7227557411273486,1437,5,,,,
arm_mean,secondary,A0,5,HYBRID,,0.4706329447881255,0.055765244846679086,738.8,0.5141266527487821,1437,5,,,,
arm_mean,secondary,A0,5,ME_LSTM,,0.49135090556971467,0.03618411224232004,1046.0,0.7279053583855254,1437,5,,,,
arm_mean,secondary,A0,5,ME_TI_LSTM,,0.479282617945813,0.04359185847161309,1026.2,0.7141266527487822,1437,5,,,,
arm_mean,secondary,A0,5,TI_LSTM,,0.4981772113500124,0.009854167301319003,1037.6,0.7220598469032707,1437,5,,,,
arm_mean,secondary,A1,1,HYBRID,,0.4953611711164136,0.028384542472764625,614.0,0.42727905358385526,1437,5,,,,
arm_mean,secondary,A1,1,ME_LSTM,,0.5035205357481355,0.009692542040164022,1046.8,0.7284620737647878,1437,5,,,,
arm_mean,secondary,A1,1,ME_TI_LSTM,,0.49440272347102027,0.015611340143949878,747.6,0.5202505219206681,1437,5,,,,
arm_mean,secondary,A1,1,TI_LSTM,,0.5067196041645532,0.007388292528346443,1040.4,0.724008350730689,1437,5,,,,
arm_mean,secondary,A1,3,HYBRID,,0.4843516869387535,0.04860805264886667,639.2,0.4448155880306193,1437,5,,,,
arm_mean,secondary,A1,3,ME_LSTM,,0.4880211965438274,0.025357209500516825,1046.4,0.7281837160751566,1437,5,,,,
arm_mean,secondary,A1,3,ME_TI_LSTM,,0.48089959377679736,0.030462215837409736,1026.4,0.7142658315935977,1437,5,,,,
arm_mean,secondary,A1,3,TI_LSTM,,0.5085278717220325,0.006215172550858806,1038.6,0.7227557411273486,1437,5,,,,
arm_mean,secondary,A1,5,HYBRID,,0.4706329447881255,0.055765244846679086,738.8,0.5141266527487821,1437,5,,,,
arm_mean,secondary,A1,5,ME_LSTM,,0.49135090556971467,0.03618411224232004,1046.0,0.7279053583855254,1437,5,,,,
arm_mean,secondary,A1,5,ME_TI_LSTM,,0.479282617945813,0.04359185847161309,1026.2,0.7141266527487822,1437,5,,,,
arm_mean,secondary,A1,5,TI_LSTM,,0.4981772113500124,0.009854167301319003,1037.6,0.7220598469032707,1437,5,,,,
arm_mean,secondary,A2,1,HYBRID,,0.4684598691496955,0.06734619040542332,244.8,0.17035490605427975,1437,5,,,,
arm_mean,secondary,A2,1,ME_LSTM,,0.4974993453958677,0.01383058264056567,484.0,0.33681280445372297,1437,5,,,,
arm_mean,secondary,A2,1,ME_TI_LSTM,,0.5190146165013322,0.01785724198176269,348.8,0.2427279053583855,1437,5,,,,
arm_mean,secondary,A2,1,TI_LSTM,,0.505990897799711,0.014849453419073046,770.0,0.535838552540014,1437,5,,,,
arm_mean,secondary,A2,3,HYBRID,,0.4843516869387535,0.04860805264886667,639.2,0.4448155880306193,1437,5,,,,
arm_mean,secondary,A2,3,ME_LSTM,,0.4880211965438274,0.025357209500516825,1046.4,0.7281837160751566,1437,5,,,,
arm_mean,secondary,A2,3,ME_TI_LSTM,,0.492659978635932,0.03316824457599517,1040.2,0.7238691718858734,1437,5,,,,
arm_mean,secondary,A2,3,TI_LSTM,,0.5085278717220325,0.006215172550858806,1038.6,0.7227557411273486,1437,5,,,,
arm_mean,secondary,A2,5,HYBRID,,0.4706329447881255,0.055765244846679086,738.8,0.5141266527487821,1437,5,,,,
arm_mean,secondary,A2,5,ME_LSTM,,0.49135090556971467,0.03618411224232004,1046.0,0.7279053583855254,1437,5,,,,
arm_mean,secondary,A2,5,ME_TI_LSTM,,0.479282617945813,0.04359185847161309,1026.2,0.7141266527487822,1437,5,,,,
arm_mean,secondary,A2,5,TI_LSTM,,0.4981772113500124,0.009854167301319003,1037.6,0.7220598469032707,1437,5,,,,
arm_mean,secondary,A3,1,HYBRID,,0.644489734729189,0.2032491292567641,143.4,0.09979123173277663,1437,5,,,,
arm_mean,secondary,A3,1,ME_LSTM,,0.5032098144256667,0.022801996866386506,418.0,0.290883785664579,1437,5,,,,
arm_mean,secondary,A3,1,ME_TI_LSTM,,0.48514292951873755,0.055125227576003695,553.2,0.38496868475991647,1437,5,,,,
arm_mean,secondary,A3,1,TI_LSTM,,0.49350463521789123,0.021430517851553484,665.4,0.46304801670146134,1437,5,,,,
arm_mean,secondary,A3,3,HYBRID,,0.5063306875162419,0.06827359947162281,342.2,0.23813500347947114,1437,5,,,,
arm_mean,secondary,A3,3,ME_LSTM,,0.4880211965438274,0.025357209500516825,1046.4,0.7281837160751566,1437,5,,,,
arm_mean,secondary,A3,3,ME_TI_LSTM,,0.4922215572185148,0.03269395184421369,1042.6,0.7255393180236605,1437,5,,,,
arm_mean,secondary,A3,3,TI_LSTM,,0.5085278717220325,0.006215172550858806,1038.6,0.7227557411273486,1437,5,,,,
