decade,n,acc_carry,acc_logit,base_rate_up
1980s,229,0.5895196506550219,0.5982532751091703,0.5982532751091703
1990s,767,0.5449804432855281,0.5176010430247718,0.48370273794002605
2000s,1053,0.5327635327635327,0.49382716049382713,0.5384615384615384
2010s,1080,0.5037037037037037,0.5074074074074074,0.48055555555555557
2020s,352,0.5227272727272727,0.4659090909090909,0.5426136363636364
