month_end,pair,country,asof,price,eur_dem_splice,for_policy_rate,for_rate_3m,for_yield_10y,for_curve_slope,for_rate_change_3m,for_rate_change_12m,us_policy_rate,us_rate_3m,us_yield_10y,us_curve_slope,us_rate_change_3m,us_rate_change_12m,vix_level,us_equity_12m_return,own_return_1m,own_return_3m,own_return_12m,fwd_logret_1m,y
1976-01-31,CADUSD,CA,1976-01-30,0.9989012086704624,0,9.27380952380952,9.04,9.39,0.3500000000000014,0.9556277056277,1.04653679653679,4.87,5.14,7.74,2.6000000000000005,-0.9500000000000002,-2.26,,33.084284801038336,1.556104544980614,1.6249242891312028,-0.15995204849832134,0.016416099555194304,1
1976-02-29,CADUSD,CA,1976-02-27,1.0154346060113728,0,9.28125,8.9075,9.29,0.3824999999999985,0.5180921052631593,2.2750000000000004,4.77,5.18,7.79,2.6100000000000003,-0.4500000000000002,-1.4700000000000006,,26.502021063371984,1.6416099555194303,2.605880064379531,1.351508216526502,0.00050784623507826,1
1976-03-31,CADUSD,CA,1976-03-31,1.015950421619425,0,9.65760869565217,9.806,9.47,-0.3359999999999985,0.21713250517598048,2.92635869565217,4.84,5.34,7.73,2.3900000000000006,-0.3600000000000003,-0.7000000000000002,,21.77266702153673,0.050784623507826,3.2484991240078696,1.9318439601227353,0.005501236367780854,1
1976-04-30,CADUSD,CA,1976-04-30,1.0215548064153641,0,9.17857142857143,9.73,9.33,-0.40000000000000036,-0.09523809523808957,2.3376623376623407,4.82,5.12,7.56,2.4399999999999995,-0.04999999999999982,-0.6699999999999999,,20.85420418999191,0.5501236367780854,2.2425182158053416,4.054000563855667,-0.0011230793972328845,0
1976-05-31,CADUSD,CA,1976-05-31,1.0204081632653061,0,9.2125,9.435,9.33,-0.10500000000000043,-0.06874999999999964,2.21845238095238,5.29,5.56,7.9,2.3400000000000007,0.5200000000000005,0.07000000000000028,,12.808776220419627,-0.11230793972328845,0.4886003205626229,4.2746671752413885,0.011494379425735002,1
1976-06-30,CADUSD,CA,1976-06-30,1.0322047894302229,0,9.40909090909091,9.39,9.32,-0.07000000000000028,-0.24851778656126022,2.3793290043289996,5.48,5.84,7.86,2.0200000000000005,0.6400000000000006,-0.0699999999999994,,10.175592430576884,1.1494379425735002,1.587253639628297,6.1838243655241305,-0.0065843859281791844,0
1976-07-31,CADUSD,CA,1976-07-30,1.0254306808859721,0,9.42857142857143,9.34,9.35,0.009999999999999787,0.25,2.218344155844161,5.31,5.52,7.83,2.3100000000000005,0.4899999999999993,-0.79,,12.37752199269142,-0.6584385928179184,0.3786914100322933,5.641755064348782,-0.0064394355494541144,0
1976-08-31,CADUSD,CA,1976-08-31,1.0188487009679061,0,9.52272727272727,9.34,9.32,-0.019999999999999574,0.31022727272726947,1.6664772727272696,5.29,5.39,7.77,2.38,0.0,-0.8499999999999996,,20.73171378337788,-0.6439435549454114,-0.1529442051898297,5.055945412794293,0.008492402807148386,1
1976-09-30,CADUSD,CA,1976-09-30,1.0275380189066996,0,9.49404761904762,9.47,9.14,-0.33000000000000007,0.08495670995671034,1.46428571428571,5.25,5.33,7.59,2.26,-0.23000000000000043,-0.9900000000000002,,25.1756423452991,0.8492402807148386,-0.4531418670484913,5.205338358054848,0.0010280662980123798,1
1976-10-31,CADUSD,CA,1976-10-29,1.0285949393128986,0,9.5375,9.27,9.13,-0.1399999999999988,0.10892857142856904,1.2193181818181795,5.02,5.12,7.41,2.29,-0.29000000000000004,-0.8000000000000007,,16.138014984299343,0.10280662980123798,0.30810335557066515,4.554237270539503,-0.06298155985644593,0
1976-11-30,CADUSD,CA,1976-11-30,0.9658103148541626,0,9.41666666666667,9.04,9.01,-0.02999999999999936,-0.1060606060606002,0.6535087719298289,4.95,5.01,7.29,2.2800000000000002,-0.33999999999999986,-0.2699999999999996,,13.716640078074228,-6.298155985644593,-5.346109075128517,-2.4045728953761927,0.025431730561639013,1
1976-12-31,CADUSD,CA,1976-12-31,0.9906875371507826,0,9.14227272727273,8.55,8.67,0.11999999999999922,-0.3517748917748911,-0.2982034632034605,4.65,4.67,6.87,2.2,-0.5999999999999996,-0.5499999999999998,,20.42594966190736,2.5431730561639014,-3.652176299679454,0.7304345969082219,-0.010446532372154772,0
1977-01-31,CADUSD,CA,1977-01-31,0.9803921568627451,0,8.90625,8.1275,8.5,0.3725000000000005,-0.6312499999999996,-0.36755952380952017,4.61,4.83,7.21,2.38,-0.40999999999999925,-0.2599999999999998,,9.684634380419599,-1.044653237215477,-4.799636166696169,-1.8703231852878692,-0.025648635607737554,0
