epoch,loss,coverage,lambda,stop_aurc,median_warp_rate,seconds
0,0.05336730136632514,0.6499711507852292,1.0,0.05833995986016282,0.05012332648038864,53.56005020000157
1,0.04950136691015625,0.5429745530029711,1.0080957412719727,0.04480011005076642,0.050008080899715424,48.261590399983106
2,0.04880730240132995,0.47029815829265703,1.0080957412719727,0.044064788618123886,0.050259388983249664,47.16526030001114
3,0.04840888308142968,0.4601474625955008,1.0149463415145874,0.04329393749243649,0.050207506865262985,47.23950369999511
4,0.04840711905211463,0.46753468537775894,1.0149463415145874,0.044304678189821534,0.05010133236646652,40.23623429998406
5,0.0484522229727794,0.4774362664473684,1.0149463415145874,0.041963030270538465,0.049787066876888275,42.118032900005346
6,0.04835670200415297,0.4942508820564516,1.0149463415145874,0.04383062998761203,0.049787066876888275,46.47593290000805
7,0.04827110029453434,0.4926455227345076,1.0149463415145874,0.03938142000350093,0.049787066876888275,46.440878800000064
8,0.04833070004709913,0.4900246378926146,1.0149463415145874,0.041217555902580395,0.04979047551751137,43.5038796000008
9,0.04828450418945484,0.4875185696095076,1.0149463415145874,0.03926066194709084,0.049787066876888275,35.7230389000033
10,0.048256645279545936,0.47385747161502545,1.0152783393859863,0.044056946187241694,0.049787066876888275,39.7419104000146
11,0.048299555507044234,0.4891405089399406,1.0152783393859863,0.041837451847072465,0.049787066876888275,45.46721130001242
12,0.04838450164462998,0.474881287139219,1.0152783393859863,0.03814271969796351,0.049787066876888275,46.71974280002178
13,0.0483841556606653,0.40290166728565363,1.0152783393859863,0.04214137501234053,0.050664205104112625,44.47083829998155
14,0.04815033832738881,0.2630546841839983,1.0154882669448853,0.04219612560838215,0.055669765919446945,46.086334499996156
15,0.04826623702924604,0.17268203191320033,1.0154882669448853,0.044796735881591734,0.27408576011657715,45.88184300001012
16,0.048361655631448904,0.19369180417020374,1.0154882669448853,0.041860691124276074,0.6635156273841858,45.578160499979276
17,0.04828809772527987,0.23151121803374364,1.0154882669448853,0.043864617933977494,0.9001847505569458,45.188199299998814
18,0.048141520163629374,0.23786260478565366,1.0154882669448853,0.04405657446476513,0.9404642581939697,45.65038820001064
19,0.04811654538422165,0.21810669567062818,1.0154882669448853,0.04353912852060225,0.6665184497833252,43.69186349998927
20,0.04838908656305793,0.22986109268887947,1.0154882669448853,0.043389290737355424,0.9270749092102051,42.04891109999153
21,0.048244177517188624,0.25493503952674024,1.0154882669448853,0.04399247148584398,0.9427947998046875,42.808443400019314
22,0.048252939732021105,0.3070451772071307,1.0154882669448853,0.04342066839738751,0.742316484451294,37.01584930001991
23,0.04806461599805663,0.2869912424395161,1.0154882669448853,0.0423344672294575,0.7134920954704285,32.429671300022164
24,0.04824333210714503,0.22226620530029711,1.0154882669448853,0.0435669032130684,0.9379755258560181,37.75651459998335
25,0.04829552489789819,0.22841655944927844,1.0154882669448853,0.04491278583237829,0.932135820388794,37.26594579999801
26,0.04835271632301989,0.2893211481324278,1.0154882669448853,0.04590081887622434,0.9970746040344238,44.4337419999938
27,0.04814514017494709,0.3411535706706282,1.0154882669448853,0.04384366832650382,0.9933162331581116,45.228940999979386
28,0.04826349894403905,0.3661284519577674,1.0154882669448853,0.04401858135326512,1.0000457763671875,40.4391467999958
29,0.048294437758257716,0.40172199968166383,1.0154882669448853,0.04478301047885078,0.9999771118164062,7.7967053999891505
