epoch,loss,coverage,lambda,stop_aurc,median_warp_rate,seconds
0,0.05357428597751214,0.5323335035547538,1.0002588033676147,0.06446134404046049,20.08553695678711,46.797109400009504
1,0.04891728255929384,0.39264568853459253,1.0002588033676147,0.06431984983200378,20.08553695678711,49.13965120000648
2,0.04856638960439098,0.37243880318866723,1.0015673637390137,0.06222577606856708,20.08553695678711,48.84637320000911
3,0.04843812783095347,0.4030794878766978,1.0015673637390137,0.056485278056026364,20.08553695678711,47.569257399998605
4,0.04844352474565822,0.3348291264325127,1.0015673637390137,0.06039126552690875,20.08553695678711,46.58196239999961
5,0.04841367257458548,0.43281117359932086,1.0015673637390137,0.0624224583524303,20.08553695678711,46.45923579999362
6,0.048293395477057716,0.4822237438985569,1.0015673637390137,0.05665294182026109,20.08553695678711,46.79091119999066
7,0.048382208156059474,0.44118159088497455,1.0015673637390137,0.05346647253171501,20.08553695678711,46.85460980000789
8,0.04830334399129518,0.4591825061014431,1.0015673637390137,0.04918911899763475,20.08553695678711,47.828995300020324
9,0.048271689064332705,0.49107954093272493,1.0015673637390137,0.06378580581426016,20.08553695678711,47.980711300013354
10,0.0482321701760456,0.47006106417126486,1.0015673637390137,0.05132393218586636,20.08553695678711,46.01437079999596
11,0.048340029091098316,0.48012761632533957,1.0015673637390137,0.05724624557441482,20.08553695678711,45.41435380000621
12,0.048311920229389835,0.4813599254562818,1.0015673637390137,0.041983132862860345,0.0497925765812397,43.71114909998141
13,0.048318538631364726,0.4369909937393888,1.0023632049560547,0.03778226712129919,0.050426777452230453,39.10525510000298
14,0.0483147373362895,0.3973597994482173,1.0023632049560547,0.037765140850583356,0.7867927551269531,44.31809559999965
15,0.04827448486624023,0.3984130444874788,1.0023632049560547,0.036812680076317335,0.5579603314399719,46.442894200008595
16,0.04825478353251423,0.4340633787404499,1.0023632049560547,0.03794778796001731,0.5598439574241638,46.339203799987445
17,0.048232847638111975,0.4669071320564516,1.0023632049560547,0.04320355245350265,0.35956478118896484,47.207718099991325
18,0.048166858667985285,0.48707878488433787,1.0023632049560547,0.0389143347415909,0.42541080713272095,46.246906599990325
19,0.04818586298028965,0.4788712661820883,1.0023632049560547,0.0448796241236951,0.11259109526872635,46.9865351000044
20,0.048239811439010204,0.4500096164049236,1.0023632049560547,0.038407346361580455,0.7060049176216125,46.16639790000045
21,0.048244098821221666,0.4692262607438455,1.0023632049560547,0.05375133275792788,0.3492810130119324,45.52263789999415
22,0.04832374590412668,0.4871227219068336,1.0023632049560547,0.039339271950815574,0.07021075487136841,46.39901920000557
23,0.04825210724348528,0.4820318303002971,1.0023632049560547,0.04587635945560453,0.9472923278808594,46.51554849999957
24,0.04823166799869116,0.4464606655878608,1.0023632049560547,0.05295304791778699,0.9144400358200073,45.18574410001747
25,0.04825485447431157,0.38266576692487264,1.0023632049560547,0.0424261324625975,0.9823282957077026,47.446830900007626
26,0.04824678898047409,0.32501624840831916,1.0048680305480957,0.04266268134065891,0.8847480416297913,44.12027750001289
27,0.04822390131551159,0.3716939463073005,1.0060789585113525,0.04321968760299654,0.8988725543022156,46.2180799000198
28,0.048195519211033204,0.4571585015651528,1.0060789585113525,0.050010060881708805,0.8314273357391357,45.002636299992446
29,0.048234139741453734,0.4583116411555603,1.0060789585113525,0.0519686515713996,0.9879199862480164,45.17278710001847
