epoch,loss,coverage,stop_aurc,seconds
0,0.058435913197003135,0.5,0.07646913037862156,2.0828639999963343
1,0.05782026629678385,0.4908954709075218,0.08559392090973725,1.2762923999980558
2,0.05832753172902347,0.38339055970657704,0.07651974052977122,1.2879272999998648
3,0.05843686669263556,0.45183545489643895,0.07791226421120742,1.2682099000085145
4,0.05834895668572984,0.4692233773164971,0.07908219525100924,1.278030800021952
5,0.058628605824873545,0.5080772222474564,0.08602127066486773,1.2630455000035
6,0.05831985460421027,0.8135347588117733,0.08594019880761389,1.291440800006967
7,0.0583099004498488,0.8936519179233285,0.08254521379825168,1.2643821999954525
8,0.05826396877379265,0.8526327443677325,0.07342300274120458,1.2956727000128012
9,0.05830828982491999,0.5510495208030524,0.07061465098431932,1.2852849999908358
10,0.05830637635771445,0.6771282817042151,0.07677421207027475,1.2757167000090703
11,0.058242037794877626,0.6677352550417878,0.07597855519665775,1.2978098999883514
12,0.05831413445885965,0.7757529325263445,0.08098109659905976,1.3064361999859102
13,0.05830277859904738,0.9024441741233649,0.0782866598126512,1.2863498000078835
14,0.05831578535266047,0.9300742925599564,0.07158122855988575,1.3003033999993932
15,0.05829798599683442,0.9493092381676962,0.07658719930885152,1.3320212999824435
16,0.05830711959644632,0.899516970612282,0.06855440213384334,1.3079475999984425
17,0.058305172298406795,0.9606720680414245,0.0691898393679242,1.28560530001414
18,0.058313582087108906,0.971841856490734,0.0636201444892042,1.2918708999932278
19,0.05830135423321883,0.9931896121002907,0.06118000180444927,1.2881534000043757
20,0.05829376452819033,0.9971788983012355,0.060941220330682,1.2843321000109427
21,0.05830613017450412,0.9909724745639535,0.0630698116039663,1.2781357000058051
22,0.058323263109466714,0.8220949394758358,0.07212184737821907,1.2851494000060484
23,0.058241458479748216,0.44259927439135177,0.06944508346627737,1.291233199997805
24,0.05818672337959152,0.3841545637263808,0.0638683542034713,1.3104916000156663
