epoch,loss,stop_crps,seconds
0,0.06040411887062324,0.09056954085826874,6.424383999983547
1,0.058695284785096384,0.0892074778676033,4.995899300003657
2,0.058521256338111886,0.08988301455974579,4.970635899982881
3,0.058419071706445065,0.08932764828205109,4.960589099995559
4,0.058480226884184534,0.08995457738637924,5.062934299989138
5,0.058398262294399185,0.08933188021183014,14.949551900004735
6,0.05838114695168685,0.08907923847436905,18.512579800008098
7,0.058349024363641824,0.08921735733747482,23.736388499994064
8,0.058379236034789055,0.08962654322385788,28.122556099988287
9,0.05831065230872915,0.08922053873538971,28.33040219999384
10,0.05834704303442566,0.08920946717262268,27.014278099988587
11,0.058331839442469696,0.08972501754760742,24.480399299995042
12,0.05835083559653614,0.08940084278583527,28.021358600002714
13,0.05830318356192736,0.088648721575737,28.034368900000118
14,0.05831493362567799,0.08929668366909027,28.694214000017382
15,0.05825550066372163,0.08912795782089233,28.77403889998095
16,0.05827314129943938,0.0900799036026001,29.1876290999935
17,0.05827679880353254,0.08892165869474411,23.93820410000626
18,0.058339620025308674,0.08922623097896576,19.663769200007664
19,0.05828747096428171,0.08817118406295776,6.2338225999847054
20,0.05827117654993091,0.08878812193870544,5.186483400000725
21,0.05826287760485917,0.08913122117519379,5.115925899997819
22,0.0582490349838207,0.08919937908649445,5.0054699999745935
23,0.05824471117798672,0.08952789008617401,5.0168418000102974
24,0.05826422872649895,0.08932725340127945,4.972971900017001
