epoch,loss,coverage,stop_aurc,seconds
0,0.06738909968543191,0.5931680368822675,0.0896813168694511,2.005222000007052
1,0.06726386392120878,0.8026861146438954,0.09747472417881596,1.2968584999907762
2,0.06709753052699705,0.9588179477425509,0.09560205778783426,1.2679139000247233
3,0.06709882102062016,0.986198247865189,0.08574717815499502,1.2863352999847848
4,0.0671010434757485,0.9939745525981105,0.08786049918284897,1.2661088999884669
5,0.06710085211061807,0.9910189606422601,0.090674573195689,1.2844890000123996
6,0.0671033876309128,0.9776625522347384,0.09101470256418467,1.2595014000253286
7,0.06709830984906402,0.967919992846112,0.09177723758113307,1.2781334000173956
8,0.0669267640914768,0.640958919081577,0.09253360663736324,1.2897652999963611
9,0.06708581405042043,0.4574226556822311,0.09222876730250104,1.2831215000187512
10,0.06691651542800976,0.3109680885492369,0.09102136678479947,1.279535500012571
11,0.0670505283714467,0.25862795807594474,0.09222852540240062,1.2731571999902371
12,0.06708829649615773,0.28027769576671513,0.09026336209704748,1.3000130000000354
13,0.06694273293819712,0.2910702727561773,0.08812490487143308,1.3128193000156898
14,0.06706113167930135,0.21695265659066135,0.08837732331241008,1.304598699993221
15,0.06721805230454476,0.27268556106922237,0.09058691190152048,1.3361921999894548
16,0.06696904938516401,0.2906043474064317,0.09144495817168224,1.3541757000202779
17,0.06709607490771559,0.26258140386537066,0.09108634768794091,1.3516321000060998
18,0.0670849574231651,0.2506447725517805,0.09091511836770227,6.761544300010428
19,0.06709606901114416,0.25558932991914973,0.08777792789909672,8.162441099993885
20,0.06720836918129651,0.24852060717205668,0.08957483707100262,8.946676000021398
21,0.06713246086309123,0.23847180743550145,0.08906372572958553,9.01262249998399
22,0.06710977980130634,0.2652247229287791,0.08994183418360199,8.466078500001458
23,0.06728501518820088,0.26433900345203487,0.08921172543292222,8.908769300003769
24,0.06715079592432567,0.32535535235737645,0.08905274441090191,8.913336400000844
