time,open,high,low,close,dt_hours,dt,log_return_pct,parkinson_pct,abs_return_pct,log_dt,is_gap,dow,target_return_pct
2015-04-27 21:00:00+00:00,1.52251,1.52321,1.52216,1.52266,1.0,1.0,0.01116529564564317,0.041412983617786364,0.01116529564564317,0.0,0.0,0,0.06959079581528305
2015-04-27 22:00:00+00:00,1.52263,1.52384,1.52195,1.52372,1.0,1.0,0.06959079581528305,0.07453309794769503,0.06959079581528305,0.0,0.0,0,-0.05842674666873826
2015-04-27 23:00:00+00:00,1.5237500000000002,1.5237500000000002,1.52235,1.52283,1.0,1.0,-0.05842674666873826,0.05520408032250486,0.05842674666873826,0.0,0.0,0,-0.018388509860117752
2015-04-28 00:00:00+00:00,1.52277,1.52322,1.52176,1.5225499999999998,1.0,1.0,-0.018388509860117752,0.05759114513773266,0.018388509860117752,0.0,0.0,1,-0.019048807700766668
2015-04-28 01:00:00+00:00,1.5225499999999998,1.52276,1.52189,1.52226,1.0,1.0,-0.019048807700766668,0.03432172906854345,0.019048807700766668,0.0,0.0,1,0.0446604499738934
2015-04-28 02:00:00+00:00,1.52225,1.52329,1.52191,1.52294,1.0,1.0,0.0446604499738934,0.05443153282519481,0.0446604499738934,0.0,0.0,1,0.0006566225306980922
2015-04-28 03:00:00+00:00,1.52294,1.52356,1.5221900000000002,1.52295,1.0,1.0,0.0006566225306980922,0.05402734338063977,0.0006566225306980922,0.0,0.0,1,-0.016416856865469898
2015-04-28 04:00:00+00:00,1.52294,1.52379,1.52238,1.5227,1.0,1.0,-0.016416856865469898,0.05559711760478093,0.016416856865469898,0.0,0.0,1,0.021669681901648197
2015-04-28 05:00:00+00:00,1.52268,1.5233,1.52251,1.52303,1.0,1.0,0.021669681901648197,0.031153838362207257,0.021669681901648197,0.0,0.0,1,0.017726247695226682
2015-04-28 06:00:00+00:00,1.52302,1.52365,1.52254,1.5233,1.0,1.0,0.017726247695226682,0.04376765509578154,0.017726247695226682,0.0,0.0,1,0.030193038764869673
2015-04-28 07:00:00+00:00,1.5233,1.52444,1.52306,1.52376,1.0,1.0,0.030193038764869673,0.0543904524174402,0.030193038764869673,0.0,0.0,1,-0.025597857796005874
2015-04-28 08:00:00+00:00,1.52378,1.52533,1.52315,1.52337,1.0,1.0,-0.025597857796005874,0.08589353702493772,0.025597857796005874,0.0,0.0,1,0.10431942369716896
2015-04-28 09:00:00+00:00,1.52338,1.52608,1.52196,1.52496,1.0,1.0,0.10431942369716896,0.1623544093258962,0.10431942369716896,0.0,0.0,1,-0.2468683135211147
2015-04-28 10:00:00+00:00,1.52495,1.52506,1.51734,1.5212,1.0,1.0,-0.2468683135211147,0.3047819122201175,0.2468683135211147,0.0,0.0,1,0.2704727040473198
2015-04-28 11:00:00+00:00,1.5212,1.52647,1.52056,1.52532,1.0,1.0,0.2704727040473198,0.2329692302894978,0.2704727040473198,0.0,0.0,1,0.22788898314853867
2015-04-28 12:00:00+00:00,1.52536,1.5289,1.5253100000000002,1.5288,1.0,1.0,0.22788898314853867,0.14118320067769605,0.22788898314853867,0.0,0.0,1,-0.0006541099362489255
2015-04-28 13:00:00+00:00,1.52881,1.53044,1.5274299999999998,1.52879,1.0,1.0,-0.0006541099362489255,0.11823195944032766,0.0006541099362489255,0.0,0.0,1,-0.05037931806595175
2015-04-28 14:00:00+00:00,1.52883,1.53031,1.52718,1.5280200000000002,1.0,1.0,-0.05037931806595175,0.12296080944885185,0.05037931806595175,0.0,0.0,1,0.1445271239884749
2015-04-28 15:00:00+00:00,1.5280200000000002,1.53126,1.52735,1.53023,1.0,1.0,0.1445271239884749,0.1535465841227738,0.1445271239884749,0.0,0.0,1,0.14170829405679153
2015-04-28 16:00:00+00:00,1.53027,1.53372,1.53026,1.5324,1.0,1.0,0.14170829405679153,0.13563682860000836,0.14170829405679153,0.0,0.0,1,0.011745590523071225
2015-04-28 17:00:00+00:00,1.53234,1.53335,1.5309,1.53258,1.0,1.0,0.011745590523071225,0.09603493607234644,0.011745590523071225,0.0,0.0,1,-0.06722952608375632
2015-04-28 18:00:00+00:00,1.53258,1.53309,1.53081,1.53155,1.0,1.0,-0.06722952608375632,0.0893814940935883,0.06722952608375632,0.0,0.0,1,0.06592452859585096
2015-04-28 19:00:00+00:00,1.53154,1.53307,1.53098,1.53256,1.0,1.0,0.06592452859585096,0.08192902281912548,0.06592452859585096,0.0,0.0,1,0.06783729745892253
2015-04-28 20:00:00+00:00,1.53256,1.53361,1.53179,1.5336,1.0,1.0,0.06783729745892253,0.0713134677646258,0.06783729745892253,0.0,0.0,1,-0.07175239210683304
2015-04-28 21:00:00+00:00,1.53366,1.53379,1.53193,1.5325,1.0,1.0,-0.07175239210683304,0.07287318980410067,0.07175239210683304,0.0,0.0,1,0.0874006199769628
2015-04-28 22:00:00+00:00,1.53249,1.53426,1.53225,1.53384,1.0,1.0,0.0874006199769628,0.07872977382801573,0.0874006199769628,0.0,0.0,1,-0.005867798501490995
2015-04-28 23:00:00+00:00,1.5338500000000002,1.53405,1.53327,1.53375,1.0,1.0,-0.005867798501490995,0.030543780859119806,0.005867798501490995,0.0,0.0,1,-0.0006519988655140363
2015-04-29 00:00:00+00:00,1.53386,1.53403,1.53329,1.53374,1.0,1.0,-0.0006519988655140363,0.028977433060328576,0.0006519988655140363,0.0,0.0,2,-0.04108450096103611
2015-04-29 01:00:00+00:00,1.53373,1.53401,1.53306,1.53311,1.0,1.0,-0.04108450096103611,0.03720379139825075,0.04108450096103611,0.0,0.0,2,0.07563458425751124
2015-04-29 02:00:00+00:00,1.53312,1.53453,1.53274,1.53427,1.0,1.0,0.07563458425751124,0.07009521026194986,0.07563458425751124,0.0,0.0,2,-0.026726377463831552
2015-04-29 03:00:00+00:00,1.53431,1.5344,1.53328,1.53386,1.0,1.0,-0.026726377463831552,0.04385259080520401,0.026726377463831552,0.0,0.0,2,-0.0032598030429931146
2015-04-29 04:00:00+00:00,1.5338699999999998,1.53418,1.53348,1.53381,1.0,1.0,-0.0032598030429931146,0.027408047200262096,0.0032598030429931146,0.0,0.0,2,-0.007823960884184578
2015-04-29 05:00:00+00:00,1.5338,1.53417,1.53346,1.53369,1.0,1.0,-0.007823960884184578,0.02779986261270551,0.007823960884184578,0.0,0.0,2,-0.0013040529967256465
2015-04-29 06:00:00+00:00,1.53369,1.5342,1.53307,1.53367,1.0,1.0,-0.0013040529967256465,0.044250045914861966,0.0013040529967256465,0.0,0.0,2,0.033248040464700646
2015-04-29 07:00:00+00:00,1.53368,1.5347,1.53346,1.53418,1.0,1.0,0.033248040464700646,0.04854348756214538,0.033248040464700646,0.0,0.0,2,0.1914499331227948
