time,open,high,low,close,dt_hours,dt,log_return_pct,parkinson_pct,abs_return_pct,log_dt,is_gap,dow,target_return_pct
2015-04-27 21:00:00+00:00,0.78535,0.78579,0.78471,0.78508,1.0,1.0,-0.03183881943083222,0.08259868869623116,0.03183881943083222,0.0,0.0,0,0.08657788730562221
2015-04-27 22:00:00+00:00,0.78509,0.78592,0.78479,0.78576,1.0,1.0,0.08657788730562221,0.08641114884904869,0.08657788730562221,0.0,0.0,0,-0.1184268470693306
2015-04-27 23:00:00+00:00,0.78573,0.7858,0.78472,0.78483,1.0,1.0,-0.1184268470693306,0.08259763683170473,0.1184268470693306,0.0,0.0,0,0.07387406082857984
2015-04-28 00:00:00+00:00,0.78486,0.78629,0.78329,0.78541,1.0,1.0,0.07387406082857984,0.22957553067260286,0.07387406082857984,0.0,0.0,1,0.14631325090883607
2015-04-28 01:00:00+00:00,0.7854,0.78698,0.7853,0.78656,1.0,1.0,0.14631325090883607,0.12834141595096848,0.14631325090883607,0.0,0.0,1,-0.029245529139276805
2015-04-28 02:00:00+00:00,0.78655,0.78684,0.78615,0.78633,1.0,1.0,-0.029245529139276805,0.05268784386548639,0.029245529139276805,0.0,0.0,1,0.05975348686814985
2015-04-28 03:00:00+00:00,0.78636,0.78714,0.78591,0.7868,1.0,1.0,0.05975348686814985,0.09391823933742581,0.05975348686814985,0.0,0.0,1,0.034310330922970866
2015-04-28 04:00:00+00:00,0.78681,0.78713,0.78629,0.78707,1.0,1.0,0.034310330922970866,0.0641241956524909,0.034310330922970866,0.0,0.0,1,-0.09024869847280292
2015-04-28 05:00:00+00:00,0.78707,0.78744,0.78613,0.78636,1.0,1.0,-0.09024869847280292,0.09999369071685658,0.09024869847280292,0.0,0.0,1,0.0444989740794155
2015-04-28 06:00:00+00:00,0.78635,0.78709,0.78587,0.78671,1.0,1.0,0.0444989740794155,0.09316000613868318,0.0444989740794155,0.0,0.0,1,0.15114856714425473
2015-04-28 07:00:00+00:00,0.78671,0.78812,0.78661,0.7879,1.0,1.0,0.15114856714425473,0.11517500734426922,0.15114856714425473,0.0,0.0,1,-0.071100279778466
2015-04-28 08:00:00+00:00,0.78791,0.78882,0.78726,0.78734,1.0,1.0,-0.071100279778466,0.118886831227558,0.071100279778466,0.0,0.0,1,0.11551229713124
2015-04-28 09:00:00+00:00,0.78733,0.78915,0.78652,0.78825,1.0,1.0,0.11551229713124,0.2004832781436312,0.11551229713124,0.0,0.0,1,0.1939127240201205
2015-04-28 10:00:00+00:00,0.78822,0.79015,0.78766,0.78978,1.0,1.0,0.1939127240201205,0.1895537029652334,0.1939127240201205,0.0,0.0,1,0.24154753851305388
2015-04-28 11:00:00+00:00,0.78978,0.79193,0.78962,0.79169,1.0,1.0,0.24154753851305388,0.17543515774652868,0.24154753851305388,0.0,0.0,1,0.3203190793723387
2015-04-28 12:00:00+00:00,0.7917,0.79424,0.791,0.79423,1.0,1.0,0.3203190793723387,0.24549229286290708,0.3203190793723387,0.0,0.0,1,0.09690228101066345
2015-04-28 13:00:00+00:00,0.79422,0.79716,0.79358,0.795,1.0,1.0,0.09690228101066345,0.2703160468174778,0.09690228101066345,0.0,0.0,1,0.04904457495550629
2015-04-28 14:00:00+00:00,0.79501,0.79602,0.79424,0.79539,1.0,1.0,0.04904457495550629,0.13444334766099747,0.04904457495550629,0.0,0.0,1,0.23357454862799887
2015-04-28 15:00:00+00:00,0.79539,0.798,0.79516,0.79725,1.0,1.0,0.23357454862799887,0.21411479413528553,0.23357454862799887,0.0,0.0,1,0.37058873306633766
2015-04-28 16:00:00+00:00,0.79726,0.80072,0.79726,0.80021,1.0,1.0,0.37058873306633766,0.26007146704012335,0.37058873306633766,0.0,0.0,1,0.15983021445807322
2015-04-28 17:00:00+00:00,0.8002,0.8018,0.7999,0.80149,1.0,1.0,0.15983021445807322,0.14248196585754017,0.15983021445807322,0.0,0.0,1,-0.08612673644003421
2015-04-28 18:00:00+00:00,0.80147,0.80158,0.80027,0.8008,1.0,1.0,-0.08612673644003421,0.09822834262205862,0.08612673644003421,0.0,0.0,1,0.14724418986948873
2015-04-28 19:00:00+00:00,0.8008,0.80252,0.80048,0.80198,1.0,1.0,0.14724418986948873,0.15285658370001448,0.14724418986948873,0.0,0.0,1,-0.052384101376243275
2015-04-28 20:00:00+00:00,0.80198,0.80211,0.80119,0.80156,1.0,1.0,-0.052384101376243275,0.06892239364850784,0.052384101376243275,0.0,0.0,1,-0.013724181405319613
2015-04-28 21:00:00+00:00,0.80158,0.80159,0.80079,0.80145,1.0,1.0,-0.013724181405319613,0.05996692462875554,0.013724181405319613,0.0,0.0,1,0.10724797755672921
2015-04-28 22:00:00+00:00,0.80145,0.80273,0.80127,0.80231,1.0,1.0,0.10724797755672921,0.10932912725248936,0.10724797755672921,0.0,0.0,1,-0.014957930847461776
2015-04-28 23:00:00+00:00,0.80215,0.80226,0.80163,0.80219,1.0,1.0,-0.014957930847461776,0.04717949213801622,0.014957930847461776,0.0,0.0,1,-0.05486489657184623
2015-04-29 00:00:00+00:00,0.80231,0.80258,0.80116,0.80175,1.0,1.0,-0.05486489657184623,0.10635104606719367,0.05486489657184623,0.0,0.0,2,-0.2647717891450657
2015-04-29 01:00:00+00:00,0.80174,0.80179,0.79938,0.79963,1.0,1.0,-0.2647717891450657,0.18078699895317935,0.2647717891450657,0.0,0.0,2,0.1986445354455968
