epoch,loss,stop_crps,seconds
0,0.06898808545909475,0.09867336601018906,5.504067200003192
1,0.06744974949072267,0.09644846618175507,4.912103200011188
2,0.06722116079939486,0.09735800325870514,4.900120500009507
3,0.0672370546800626,0.09670059382915497,4.9301265999965835
4,0.06713658648131546,0.09772932529449463,4.931229400011944
5,0.06713406701009114,0.09693730622529984,4.9830002000089735
6,0.06710449531457799,0.0964348316192627,4.915939500002423
7,0.06712278168171991,0.09703285992145538,4.940437399985967
8,0.06713005286359856,0.09608657658100128,4.912217999983113
9,0.06707215662720765,0.09666065126657486,4.898924000008265
10,0.0671216144962886,0.09638692438602448,4.849452399997972
11,0.06704615431751103,0.09713321924209595,4.882699999987381
12,0.06707091113487475,0.09690381586551666,4.865224799985299
13,0.06705284042305551,0.09664615988731384,4.885043599992059
14,0.06707133170823719,0.09704375267028809,4.8840995999926236
15,0.0670448851847458,0.09719879925251007,5.004679399979068
16,0.0670429926073222,0.0976138561964035,23.363149000011617
17,0.06704170032144459,0.09648151695728302,28.29522930001258
18,0.0670347037768468,0.09720136970281601,25.04998350000824
19,0.06701303401766995,0.09715559333562851,26.592301500000758
20,0.06700702392777731,0.0968577042222023,24.245687999995425
21,0.06703795168310576,0.09719660878181458,4.934901599976001
22,0.06701026902923923,0.09671890735626221,4.873936499992851
23,0.06698620796940008,0.09734699130058289,4.793732499994803
24,0.06704254250237068,0.0966174304485321,4.822867699986091
