time,open,high,low,close
2022-07-27 02:00:00+00:00,1.01281,1.01438,1.01276,1.01399
2022-07-27 03:00:00+00:00,1.01397,1.01469,1.01364,1.01447
2022-07-27 04:00:00+00:00,1.01447,1.01467,1.01373,1.01437
2022-07-27 05:00:00+00:00,1.01438,1.01467,1.01421,1.01421
2022-07-27 06:00:00+00:00,1.01424,1.01519,1.01411,1.01503
2022-07-27 07:00:00+00:00,1.01505,1.01519,1.01439,1.01457
2022-07-27 08:00:00+00:00,1.0146,1.01582,1.01273,1.01308
2022-07-27 09:00:00+00:00,1.01309,1.01521,1.01308,1.01391
2022-07-27 10:00:00+00:00,1.01391,1.01504,1.01335,1.01414
2022-07-27 11:00:00+00:00,1.01411,1.01542,1.01396,1.01428
2022-07-27 12:00:00+00:00,1.01429,1.0154,1.01379,1.0153
2022-07-27 13:00:00+00:00,1.0153,1.01714,1.01491,1.01502
2022-07-27 14:00:00+00:00,1.01503,1.0156,1.01402,1.01425
2022-07-27 15:00:00+00:00,1.01427,1.01519,1.01267,1.01338
2022-07-27 16:00:00+00:00,1.01347,1.014,1.01084,1.01195
2022-07-27 17:00:00+00:00,1.01194,1.01373,1.01045,1.01048
2022-07-27 18:00:00+00:00,1.01047,1.01156,1.0096,1.01106
2022-07-27 19:00:00+00:00,1.01108,1.01423,1.01105,1.01267
2022-07-27 20:00:00+00:00,1.01265,1.02114,1.01061,1.01993
2022-07-27 21:00:00+00:00,1.01996,1.022,1.01865,1.02079
2022-07-27 22:00:00+00:00,1.02081,1.02082,1.01913,1.02014
2022-07-27 23:00:00+00:00,1.01984,1.0201500000000001,1.01893,1.01997
2022-07-28 00:00:00+00:00,1.02006,1.02023,1.01883,1.02021
2022-07-28 01:00:00+00:00,1.02021,1.02068,1.02005,1.02049
2022-07-28 02:00:00+00:00,1.02055,1.02122,1.01798,1.0186
2022-07-28 03:00:00+00:00,1.01862,1.02143,1.01833,1.02057
2022-07-28 04:00:00+00:00,1.02058,1.02067,1.01957,1.02048
2022-07-28 05:00:00+00:00,1.02047,1.02154,1.02045,1.02093
2022-07-28 06:00:00+00:00,1.02092,1.02233,1.02001,1.02018
2022-07-28 07:00:00+00:00,1.02022,1.02251,1.02012,1.02207
2022-07-28 08:00:00+00:00,1.02206,1.0234,1.0202,1.02155
2022-07-28 09:00:00+00:00,1.02156,1.02163,1.01846,1.02094
2022-07-28 10:00:00+00:00,1.02097,1.0219,1.01957,1.0217
2022-07-28 11:00:00+00:00,1.02169,1.02169,1.01515,1.01529
2022-07-28 12:00:00+00:00,1.01531,1.01652,1.01229,1.01334
2022-07-28 13:00:00+00:00,1.01335,1.01362,1.01133,1.01175
2022-07-28 14:00:00+00:00,1.01174,1.01745,1.01152,1.01632
2022-07-28 15:00:00+00:00,1.01633,1.01731,1.01256,1.01392
2022-07-28 16:00:00+00:00,1.01392,1.01681,1.01384,1.0156
2022-07-28 17:00:00+00:00,1.01561,1.01707,1.01456,1.01648
2022-07-28 18:00:00+00:00,1.01643,1.01643,1.01415,1.01574
2022-07-28 19:00:00+00:00,1.01574,1.0166,1.01545,1.01598
2022-07-28 20:00:00+00:00,1.01598,1.01765,1.01558,1.01762
2022-07-28 21:00:00+00:00,1.01763,1.0188,1.0176,1.01861
