time,open,high,low,close
2022-07-26 23:00:00+00:00,0.62257,0.6239,0.62192,0.62294
2022-07-27 00:00:00+00:00,0.62303,0.62384,0.62278,0.62374
2022-07-27 01:00:00+00:00,0.62377,0.62444,0.62376,0.62389
2022-07-27 02:00:00+00:00,0.6239,0.62467,0.62379,0.62427
2022-07-27 03:00:00+00:00,0.62426,0.62461,0.62291,0.62369
2022-07-27 04:00:00+00:00,0.62371,0.62401,0.62261,0.62291
2022-07-27 05:00:00+00:00,0.62291,0.62329,0.62271,0.62284
2022-07-27 06:00:00+00:00,0.62283,0.62378,0.62276,0.62369
2022-07-27 07:00:00+00:00,0.62369,0.62384,0.62321,0.62368
2022-07-27 08:00:00+00:00,0.62369,0.62406,0.62237,0.62255
2022-07-27 09:00:00+00:00,0.62252,0.62306,0.62201,0.62273
2022-07-27 10:00:00+00:00,0.62272,0.62387,0.62256,0.62304
2022-07-27 11:00:00+00:00,0.62303,0.62436,0.623,0.62378
2022-07-27 12:00:00+00:00,0.62376,0.62403,0.62311,0.62322
2022-07-27 13:00:00+00:00,0.62321,0.6239,0.62246,0.62262
2022-07-27 14:00:00+00:00,0.62262,0.62279,0.62156,0.62184
2022-07-27 15:00:00+00:00,0.62185,0.62188,0.62047,0.62101
2022-07-27 16:00:00+00:00,0.62104,0.62163,0.61966,0.62029
2022-07-27 17:00:00+00:00,0.62028,0.62092,0.61946,0.61966
2022-07-27 18:00:00+00:00,0.61965,0.62008,0.61942,0.61971
2022-07-27 19:00:00+00:00,0.61972,0.62089,0.61971,0.61998
2022-07-27 20:00:00+00:00,0.61999,0.62676,0.61905,0.62606
2022-07-27 21:00:00+00:00,0.62618,0.62767,0.62523,0.62636
2022-07-27 22:00:00+00:00,0.62634,0.62674,0.62536,0.62606
2022-07-27 23:00:00+00:00,0.62537,0.6263,0.62523,0.62627
2022-07-28 00:00:00+00:00,0.62627,0.62648,0.626,0.62633
2022-07-28 01:00:00+00:00,0.62632,0.62668,0.62572,0.62579
2022-07-28 02:00:00+00:00,0.62581,0.62622,0.625,0.62569
2022-07-28 03:00:00+00:00,0.62573,0.62739,0.62549,0.62669
2022-07-28 04:00:00+00:00,0.6267,0.62672,0.62557,0.62633
2022-07-28 05:00:00+00:00,0.62632,0.62727,0.62626,0.62722
2022-07-28 06:00:00+00:00,0.62725,0.62748,0.62668,0.62676
2022-07-28 07:00:00+00:00,0.62678,0.62782,0.62646,0.62753
2022-07-28 08:00:00+00:00,0.62754,0.62891,0.62731,0.62809
2022-07-28 09:00:00+00:00,0.62809,0.62857,0.6266,0.62852
2022-07-28 10:00:00+00:00,0.62854,0.62921,0.6282,0.62894
2022-07-28 11:00:00+00:00,0.62894,0.62908,0.6272,0.62734
2022-07-28 12:00:00+00:00,0.62735,0.62801,0.6262,0.62669
2022-07-28 13:00:00+00:00,0.62669,0.62704,0.62587,0.62693
2022-07-28 14:00:00+00:00,0.62691,0.62889,0.62537,0.62842
2022-07-28 15:00:00+00:00,0.6284,0.62886,0.62575,0.62668
2022-07-28 16:00:00+00:00,0.62672,0.62745,0.62576,0.62738
2022-07-28 17:00:00+00:00,0.62736,0.62796,0.62676,0.62769
2022-07-28 18:00:00+00:00,0.62769,0.62769,0.62617,0.62682
2022-07-28 19:00:00+00:00,0.62682,0.62772,0.62659,0.62729
2022-07-28 20:00:00+00:00,0.6273,0.62827,0.62681,0.62823
2022-07-28 21:00:00+00:00,0.62821,0.62899,0.6282,0.62859
2022-07-28 22:00:00+00:00,0.62859,0.62967,0.62588,0.62722
2022-07-28 23:00:00+00:00,0.62606,0.62923,0.62446,0.62879
2022-07-29 00:00:00+00:00,0.62906,0.62944,0.62844,0.62941
2022-07-29 01:00:00+00:00,0.62942,0.62976,0.62911,0.62931
2022-07-29 02:00:00+00:00,0.62938,0.63,0.62891,0.62916
2022-07-29 03:00:00+00:00,0.62918,0.62955,0.62865,0.62945
2022-07-29 04:00:00+00:00,0.62947,0.62992,0.62896,0.62989
2022-07-29 05:00:00+00:00,0.62991,0.63159,0.62971,0.63101
2022-07-29 06:00:00+00:00,0.63099,0.63194,0.63044,0.63062
2022-07-29 07:00:00+00:00,0.63064,0.63157,0.63051,0.63125
2022-07-29 08:00:00+00:00,0.63124,0.63286,0.63097,0.63234
2022-07-29 09:00:00+00:00,0.63235,0.63264,0.63098,0.63163
2022-07-29 10:00:00+00:00,0.63164,0.63164,0.62952,0.6301
2022-07-29 11:00:00+00:00,0.6301,0.63034,0.62839,0.62901
2022-07-29 12:00:00+00:00,0.629,0.62969,0.62867,0.62922
2022-07-29 13:00:00+00:00,0.62921,0.62921,0.6268,0.62728
2022-07-29 14:00:00+00:00,0.62728,0.62728,0.62446,0.62505
2022-07-29 15:00:00+00:00,0.62506,0.6251,0.6217,0.6229
2022-07-29 16:00:00+00:00,0.62289,0.6273,0.62212,0.62707
2022-07-29 17:00:00+00:00,0.62703,0.62775,0.6261,0.62764
2022-07-29 18:00:00+00:00,0.62762,0.62771,0.6262,0.62701
2022-07-29 19:00:00+00:00,0.62701,0.62726,0.62641,0.62715
2022-07-29 20:00:00+00:00,0.62715,0.62944,0.62713,0.62941
2022-07-29 21:00:00+00:00,0.62943,0.62957,0.6285,0.62883
2022-07-29 22:00:00+00:00,0.62884,0.62957,0.62792,0.62858
2022-07-31 23:00:00+00:00,0.62665,0.62823,0.62626,0.62803
2022-08-01 00:00:00+00:00,0.62811,0.6285,0.62766,0.62848
