time,open,high,low,close
2022-07-27 02:00:00+00:00,95.121,95.297,95.09,95.249
2022-07-27 03:00:00+00:00,95.247,95.316,94.772,94.889
2022-07-27 04:00:00+00:00,94.892,94.948,94.745,94.832
2022-07-27 05:00:00+00:00,94.831,94.905,94.75,94.794
2022-07-27 06:00:00+00:00,94.79,95.038,94.77,95.023
2022-07-27 07:00:00+00:00,95.024,95.035,94.895,95.006
2022-07-27 08:00:00+00:00,95.006,95.052,94.849,94.884
2022-07-27 09:00:00+00:00,94.885,95.024,94.881,95.015
2022-07-27 10:00:00+00:00,95.008,95.063,94.917,94.944
2022-07-27 11:00:00+00:00,94.945,95.04,94.917,94.949
2022-07-27 12:00:00+00:00,94.95,94.963,94.842,94.927
2022-07-27 13:00:00+00:00,94.925,95.058,94.921,95.012
2022-07-27 14:00:00+00:00,95.011,95.073,94.972,95.01
2022-07-27 15:00:00+00:00,95.011,95.031,94.867,94.923
2022-07-27 16:00:00+00:00,94.921,95.066,94.842,95.037
2022-07-27 17:00:00+00:00,95.039,95.07,94.977,95.027
2022-07-27 18:00:00+00:00,95.026,95.096,94.972,95.08
2022-07-27 19:00:00+00:00,95.081,95.133,94.995,95.006
2022-07-27 20:00:00+00:00,95.01,95.523,94.941,95.4
2022-07-27 21:00:00+00:00,95.401,95.691,95.34,95.473
2022-07-27 22:00:00+00:00,95.473,95.562,95.369,95.381
2022-07-27 23:00:00+00:00,95.371,95.501,95.363,95.474
2022-07-28 00:00:00+00:00,95.463,95.521,95.404,95.418
2022-07-28 01:00:00+00:00,95.417,95.44,95.145,95.182
2022-07-28 02:00:00+00:00,95.183,95.317,95.052,95.092
2022-07-28 03:00:00+00:00,95.089,95.114,94.506,94.714
2022-07-28 04:00:00+00:00,94.713,94.713,94.477,94.61
2022-07-28 05:00:00+00:00,94.605,94.678,94.55,94.677
2022-07-28 06:00:00+00:00,94.677,94.731,94.611,94.638
2022-07-28 07:00:00+00:00,94.639,94.776,94.628,94.684
2022-07-28 08:00:00+00:00,94.682,94.93,94.65,94.86
2022-07-28 09:00:00+00:00,94.861,94.916,94.773,94.878
2022-07-28 10:00:00+00:00,94.88,94.904,94.686,94.745
2022-07-28 11:00:00+00:00,94.746,94.802,94.537,94.582
2022-07-28 12:00:00+00:00,94.583,94.723,94.555,94.599
2022-07-28 13:00:00+00:00,94.601,94.62,94.454,94.573
2022-07-28 14:00:00+00:00,94.572,94.578,94.056,94.088
2022-07-28 15:00:00+00:00,94.087,94.1,93.741,93.894
2022-07-28 16:00:00+00:00,93.894,93.937,93.606,93.722
2022-07-28 17:00:00+00:00,93.724,93.801,93.652,93.729
2022-07-28 18:00:00+00:00,93.73,93.786,93.603,93.625
2022-07-28 19:00:00+00:00,93.622,93.675,93.566,93.655
2022-07-28 20:00:00+00:00,93.657,93.691,93.598,93.678
2022-07-28 21:00:00+00:00,93.677,93.745,93.625,93.726
2022-07-28 22:00:00+00:00,93.726,93.914,93.621,93.64
2022-07-28 23:00:00+00:00,93.698,93.887,93.698,93.836
2022-07-29 00:00:00+00:00,93.844,94.042,93.823,93.896
2022-07-29 01:00:00+00:00,93.904,94.124,93.896,94.035
2022-07-29 02:00:00+00:00,94.02,94.264,93.957,94.121
2022-07-29 03:00:00+00:00,94.12,94.168,94.035,94.121
2022-07-29 04:00:00+00:00,94.123,94.13,93.883,93.995
2022-07-29 05:00:00+00:00,93.995,93.999,93.206,93.308
2022-07-29 06:00:00+00:00,93.307,93.535,93.271,93.402
2022-07-29 07:00:00+00:00,93.397,93.405,93.032,93.194
2022-07-29 08:00:00+00:00,93.195,93.262,92.996,93.046
2022-07-29 09:00:00+00:00,93.044,93.359,93.034,93.253
2022-07-29 10:00:00+00:00,93.253,93.257,92.911,93.035
2022-07-29 11:00:00+00:00,93.037,93.229,93.007,93.138
2022-07-29 12:00:00+00:00,93.142,93.203,93.066,93.158
2022-07-29 13:00:00+00:00,93.157,93.209,93.001,93.024
2022-07-29 14:00:00+00:00,93.023,93.283,93.01,93.16
2022-07-29 15:00:00+00:00,93.161,93.219,92.856,92.865
2022-07-29 16:00:00+00:00,92.865,93.266,92.812,93.231
2022-07-29 17:00:00+00:00,93.235,93.285,92.998,93.03
2022-07-29 18:00:00+00:00,93.032,93.127,93.001,93.01
2022-07-29 19:00:00+00:00,93.006,93.045,92.951,93.033
2022-07-29 20:00:00+00:00,93.034,93.275,93.01,93.269
2022-07-29 21:00:00+00:00,93.261,93.325,93.101,93.156
