time,open,high,low,close
2022-07-26 12:00:00+00:00,85.167,85.237,85.075,85.166
2022-07-26 13:00:00+00:00,85.16,85.252,85.102,85.213
2022-07-26 14:00:00+00:00,85.21,85.229,84.997,85.089
2022-07-26 15:00:00+00:00,85.088,85.175,84.979,85.05
2022-07-26 16:00:00+00:00,85.043,85.308,84.995,85.3
2022-07-26 17:00:00+00:00,85.291,85.312,85.131,85.174
2022-07-26 18:00:00+00:00,85.173,85.241,85.142,85.182
2022-07-26 19:00:00+00:00,85.181,85.213,85.102,85.134
2022-07-26 20:00:00+00:00,85.136,85.23,85.081,85.107
2022-07-26 21:00:00+00:00,85.107,85.226,85.082,85.206
2022-07-26 22:00:00+00:00,85.205,85.319,85.168,85.291
2022-07-26 23:00:00+00:00,85.276,85.329,85.249,85.258
2022-07-27 00:00:00+00:00,85.293,85.383,85.277,85.358
2022-07-27 01:00:00+00:00,85.357,85.519,85.357,85.45
2022-07-27 02:00:00+00:00,85.447,85.598,85.416,85.565
2022-07-27 03:00:00+00:00,85.565,85.593,85.41,85.449
2022-07-27 04:00:00+00:00,85.45,85.495,85.307,85.337
2022-07-27 05:00:00+00:00,85.338,85.358,85.269,85.301
2022-07-27 06:00:00+00:00,85.3,85.465,85.293,85.45
2022-07-27 07:00:00+00:00,85.453,85.461,85.356,85.39
2022-07-27 08:00:00+00:00,85.391,85.432,85.274,85.294
2022-07-27 09:00:00+00:00,85.29,85.344,85.227,85.305
2022-07-27 10:00:00+00:00,85.304,85.356,85.223,85.233
2022-07-27 11:00:00+00:00,85.234,85.325,85.211,85.242
2022-07-27 12:00:00+00:00,85.243,85.25,85.16,85.204
2022-07-27 13:00:00+00:00,85.203,85.265,85.122,85.156
2022-07-27 14:00:00+00:00,85.158,85.207,85.081,85.15
2022-07-27 15:00:00+00:00,85.151,85.18,84.986,85.036
2022-07-27 16:00:00+00:00,85.035,85.157,84.985,85.143
2022-07-27 17:00:00+00:00,85.143,85.169,85.082,85.107
2022-07-27 18:00:00+00:00,85.107,85.155,85.064,85.123
2022-07-27 19:00:00+00:00,85.123,85.181,85.076,85.109
2022-07-27 20:00:00+00:00,85.141,85.524,85.074,85.394
2022-07-27 21:00:00+00:00,85.393,85.634,85.333,85.484
2022-07-27 22:00:00+00:00,85.485,85.564,85.447,85.517
2022-07-27 23:00:00+00:00,85.497,85.529,85.451,85.524
2022-07-28 00:00:00+00:00,85.525,85.542,85.449,85.458
2022-07-28 01:00:00+00:00,85.459,85.472,85.154,85.178
2022-07-28 02:00:00+00:00,85.167,85.339,85.121,85.191
2022-07-28 03:00:00+00:00,85.191,85.21,84.725,84.871
2022-07-28 04:00:00+00:00,84.87,84.87,84.661,84.783
2022-07-28 05:00:00+00:00,84.782,84.915,84.766,84.901
2022-07-28 06:00:00+00:00,84.903,84.965,84.868,84.899
2022-07-28 07:00:00+00:00,84.9,85.0,84.883,84.94
2022-07-28 08:00:00+00:00,84.94,85.145,84.91,85.099
2022-07-28 09:00:00+00:00,85.1,85.224,85.033,85.217
2022-07-28 10:00:00+00:00,85.222,85.252,85.078,85.1
2022-07-28 11:00:00+00:00,85.099,85.141,84.925,84.955
2022-07-28 12:00:00+00:00,84.956,85.074,84.916,84.969
2022-07-28 13:00:00+00:00,84.971,85.089,84.893,85.078
2022-07-28 14:00:00+00:00,85.079,85.087,84.598,84.654
2022-07-28 15:00:00+00:00,84.647,84.656,84.286,84.416
2022-07-28 16:00:00+00:00,84.419,84.459,84.234,84.399
2022-07-28 17:00:00+00:00,84.401,84.437,84.311,84.392
2022-07-28 18:00:00+00:00,84.392,84.404,84.26,84.307
2022-07-28 19:00:00+00:00,84.308,84.362,84.267,84.336
2022-07-28 20:00:00+00:00,84.336,84.412,84.318,84.393
2022-07-28 21:00:00+00:00,84.391,84.442,84.363,84.4
2022-07-28 22:00:00+00:00,84.4,84.545,84.363,84.432
2022-07-28 23:00:00+00:00,84.429,84.51,84.429,84.442
2022-07-29 00:00:00+00:00,84.483,84.59,84.456,84.494
2022-07-29 01:00:00+00:00,84.493,84.679,84.493,84.579
2022-07-29 02:00:00+00:00,84.566,84.784,84.529,84.622
2022-07-29 03:00:00+00:00,84.621,84.666,84.563,84.659
2022-07-29 04:00:00+00:00,84.66,84.661,84.452,84.591
2022-07-29 05:00:00+00:00,84.592,84.604,83.966,84.029
2022-07-29 06:00:00+00:00,84.025,84.224,84.008,84.112
2022-07-29 07:00:00+00:00,84.108,84.115,83.81,83.98
2022-07-29 08:00:00+00:00,83.972,84.012,83.781,83.828
2022-07-29 09:00:00+00:00,83.826,83.985,83.8,83.86
2022-07-29 10:00:00+00:00,83.862,83.881,83.617,83.794
2022-07-29 11:00:00+00:00,83.795,83.995,83.744,83.896
2022-07-29 12:00:00+00:00,83.898,83.921,83.791,83.827
2022-07-29 13:00:00+00:00,83.823,83.866,83.663,83.705
2022-07-29 14:00:00+00:00,83.706,83.924,83.66,83.799
2022-07-29 15:00:00+00:00,83.801,83.846,83.534,83.541
2022-07-29 16:00:00+00:00,83.54,83.837,83.5,83.816
2022-07-29 17:00:00+00:00,83.819,83.843,83.551,83.612
2022-07-29 18:00:00+00:00,83.612,83.675,83.579,83.587
2022-07-29 19:00:00+00:00,83.586,83.643,83.525,83.63
2022-07-29 20:00:00+00:00,83.632,83.933,83.618,83.923
2022-07-29 21:00:00+00:00,83.918,83.964,83.789,83.852
2022-07-29 22:00:00+00:00,83.849,83.896,83.755,83.755
2022-07-31 23:00:00+00:00,83.694,83.708,83.641,83.693
2022-08-01 00:00:00+00:00,83.679,83.806,83.668,83.793
2022-08-01 01:00:00+00:00,83.792,83.858,83.711,83.714
2022-08-01 02:00:00+00:00,83.71,83.774,83.478,83.549
2022-08-01 03:00:00+00:00,83.55,83.583,83.105,83.306
2022-08-01 04:00:00+00:00,83.306,83.451,83.22,83.424
2022-08-01 05:00:00+00:00,83.428,83.53,83.373,83.407
2022-08-01 06:00:00+00:00,83.408,83.515,83.341,83.502
2022-08-01 07:00:00+00:00,83.5,83.52,83.377,83.436
2022-08-01 08:00:00+00:00,83.432,83.481,83.307,83.324
2022-08-01 09:00:00+00:00,83.33,83.701,83.258,83.688
2022-08-01 10:00:00+00:00,83.685,83.774,83.671,83.679
2022-08-01 11:00:00+00:00,83.678,83.75,83.497,83.544
2022-08-01 12:00:00+00:00,83.542,83.729,83.512,83.691
2022-08-01 13:00:00+00:00,83.69,83.894,83.673,83.851
2022-08-01 14:00:00+00:00,83.853,83.869,83.624,83.629
2022-08-01 15:00:00+00:00,83.627,83.643,83.445,83.538
2022-08-01 16:00:00+00:00,83.557,83.839,83.495,83.688
2022-08-01 17:00:00+00:00,83.688,83.711,83.517,83.614
2022-08-01 18:00:00+00:00,83.613,83.672,83.571,83.594
2022-08-01 19:00:00+00:00,83.593,83.605,83.402,83.508
2022-08-01 20:00:00+00:00,83.51,83.534,83.415,83.444
2022-08-01 21:00:00+00:00,83.446,83.462,83.286,83.367
